names,scores,logfoldchanges,pvals,pvals_adj
DST,68.81799,3.121675,0.0,0.0
CACNA2D1,60.699455,2.841025,0.0,0.0
PLPPR4,56.31283,3.0513046,0.0,0.0
PRDX1,55.804386,2.2396266,0.0,0.0
FZD1,55.59441,3.7729964,0.0,0.0
ARL6IP1,53.228256,2.3801918,0.0,0.0
SPATS2L,51.85637,3.423827,0.0,0.0
SPON2,49.89,3.520381,0.0,0.0
PCBP4,48.00785,2.0315123,0.0,0.0
CRYBG3,47.148254,2.6128087,0.0,0.0
CADM1,46.75323,2.2332046,0.0,0.0
ADGRV1,44.831093,2.6989625,0.0,0.0
COL27A1,44.27399,2.674008,0.0,0.0
PALMD,43.559128,4.076509,0.0,0.0
C11orf96,42.723663,3.7358918,0.0,0.0
TMEM233,42.21037,3.0415537,0.0,0.0
DOCK9,41.81282,3.5726273,0.0,0.0
GPC6,41.46459,2.7704897,0.0,0.0
SRRM2,41.137146,1.3029822,0.0,0.0
MT-ND5,40.753906,0.95538014,0.0,0.0
PCDH9,40.541523,2.9238162,0.0,0.0
CHGB,40.433456,1.9908613,0.0,0.0
SSTR2,39.32887,1.9439536,0.0,0.0
EML4,38.8014,2.6729712,0.0,0.0
SON,38.151913,1.096454,0.0,0.0
AKAP13,37.856373,2.1535256,0.0,0.0
MT-ND4L,37.81783,1.2054939,0.0,0.0
CACNA1G,36.97224,3.270771,3.1993469674354986e-299,1.4554859653040038e-296
DIRAS2,36.84398,4.3071637,3.651412252254449e-297,1.580767036496156e-294
AKAP9,36.746315,1.2745067,1.3314296976425185e-295,5.672524526098863e-293
C7,36.33575,4.9117475,4.4122878439236205e-289,1.7943972427083924e-286
IMPG2,36.20756,2.2852323,4.6288327129338924e-287,1.8543656544456508e-284
SLC29A4,35.95447,2.224905,4.309098329735202e-283,1.6762392502669935e-280
LAPTM4B,35.9287,2.4179263,1.088865179181274e-282,4.1163704611837435e-280
PRL,35.740723,2.1058605,9.220028300990794e-280,3.3900654743410124e-277
CDHR1,35.515007,2.3934824,2.883731830800653e-276,1.018450606191057e-273
NCAM1,35.38524,1.688892,2.880358990363095e-274,1.0040482553290368e-271
ROBO3,35.333836,2.8885014,1.775920611514425e-273,6.111216042776753e-271
TULP1,34.31292,2.9175386,5.035535850882321e-258,1.6090335449230047e-255
MYCBP2,34.1024,1.5847487,6.795285552678098e-255,2.096462753096929e-252
RERE,34.025333,1.5271703,9.405154609595283e-254,2.8686790326834887e-251
SLC12A2,33.512142,2.9022388,3.207489927647081e-246,9.158748632763331e-244
KCNQ1OT1,33.409977,2.2884207,9.821526456776414e-245,2.7749430697509024e-242
PPP2R2B,33.363125,2.7998376,4.700311301087232e-244,1.3141776628383582e-241
MT-ND4,33.16791,0.59754467,3.125340632338733e-241,8.473461405313527e-239
GNAS,33.07027,1.0381609,7.953712401704857e-240,2.0929960252368633e-237
FBRSL1,33.028885,2.3294199,3.127326716136409e-239,8.149570523089063e-237
SMARCD3,32.68394,2.289462,2.6414873151098585e-234,6.688694436307896e-232
GABRB3,32.665367,1.8746305,4.849182365639364e-234,1.2164196623937026e-231
