names,scores,logfoldchanges,pvals,pvals_adj
NRG1,23.00335,5.930893,4.315037881327089e-117,1.5793470149445278e-112
GRAMD1B,21.67419,3.9013708,3.5950174494076294e-104,6.579061683288433e-100
AGBL1,21.56295,3.7362173,4.0025663042276e-103,4.883264310034479e-99
ZEB1,20.933064,2.8872995,2.6772356225242395e-97,2.4497375255002422e-93
CAMK1D,20.333118,4.694056,6.550424178356324e-92,4.795041507040397e-88
PDZRN3,19.689497,3.43756,2.653146205183904e-86,1.618463404265601e-82
MACROD2,19.667381,2.891962,4.104298330141787e-86,2.1460203311645652e-82
DLG2,19.612246,2.9130352,1.2154728390408484e-85,5.560940172716762e-82
RERE,19.007484,2.1675262,1.4787501449883846e-80,6.013748228524429e-77
CADM1,18.96561,2.780409,3.2819959260663715e-80,1.1424461680916793e-76
AC119868.2,18.963238,3.4277987,3.4334875683747634e-80,1.1424461680916793e-76
DOK6,18.931248,3.1075237,6.305172468018263e-80,1.9231301458494702e-76
PTPRM,18.809156,3.1867409,6.354010265917417e-79,1.7889471518680262e-75
PEX5L,18.562073,3.3527098,6.5142959412688124e-77,1.7030696124741413e-73
AP000462.1,18.492756,3.130628,2.3616841356011946e-76,5.762666736475955e-73
AL139220.2,18.19468,5.569914,5.687129385111758e-74,1.3009663914029715e-70
AC079760.1,17.852314,4.905411,2.7730214443224214e-71,5.970315169626173e-68
MIR99AHG,17.807398,1.619206,6.192330398721268e-71,1.259141582908873e-67
GALNT17,17.279346,2.618821,6.730553688242918e-67,1.2965526081230475e-63
MAML2,17.18265,2.5248961,3.581708248773431e-66,6.554705180667818e-63
EPHB1,17.068722,4.889869,2.536932522417932e-65,4.421631773953272e-62
GPC5,16.954144,3.7247627,1.7935399368427437e-64,2.983879783108239e-61
TAOK3,16.738182,2.8719616,6.906514518920836e-63,1.0990666865522676e-59
PCBP3,16.647324,5.042924,3.1644115661579833e-62,4.8258594888728475e-59
AC016987.1,16.512365,3.84609,2.9893661181450585e-61,4.376551571609091e-58
SORCS1,16.496296,5.109187,3.900989273625275e-61,5.491542630921488e-58
LSAMP,16.442793,3.9747882,9.44633239561165e-61,1.280537822265859e-57
AC079760.2,16.324188,4.4730296,6.64182750212535e-60,8.682054585903212e-57
GAS7,16.240025,3.3981516,2.628179614702341e-59,3.3170345544041516e-56
MAPK10,16.205584,2.6316762,4.604952252903844e-59,5.61819524695112e-56
TCF7L2,16.11244,2.6050043,2.0862475391879157e-58,2.4631853607037712e-55
AC068931.1,15.998296,6.150413,1.313202868498532e-57,1.5020168184348367e-54
COL27A1,15.949116,2.4682105,2.8896116830976473e-57,3.204929612516878e-54
RORA,15.922777,2.9335632,4.403867642015259e-57,4.740763516629426e-54
MBOAT2,15.861437,3.2144003,1.1718191505147956e-56,1.2254215065140582e-53
PHACTR2,15.857676,2.5153935,1.2441382194240417e-56,1.2649084158094263e-53
PITPNC1,15.838121,2.5930076,1.6981834089539024e-56,1.6798705662465348e-53
AC092939.1,15.821098,3.4180477,2.2257740352657586e-56,2.143830406967422e-53
COL25A1,15.797704,3.3805716,3.226567615744667e-56,3.0280923411248856e-53
LINC02698,15.759649,4.8875103,5.895945626943834e-56,5.394937647294282e-53
SCD5,15.638878,2.5102532,3.956361036074908e-55,3.531872445887261e-52
LIMD1,15.581201,2.6399271,9.770251215028196e-55,8.514308683839214e-52
ZBTB20,15.474037,2.5719326,5.194494838489638e-54,4.4214815251990524e-51
