names,scores,logfoldchanges,pvals,pvals_adj
PCDH17,59.503452,4.650854,0.0,0.0
NUDT4,56.108963,3.3630188,0.0,0.0
RSPO3,49.132885,4.4282,0.0,0.0
AL591721.1,48.776165,8.219249,0.0,0.0
EMX2,47.3301,6.270507,0.0,0.0
C1orf61,47.304832,3.5586767,0.0,0.0
TTR,46.171776,3.7487967,0.0,0.0
CNTLN,45.286568,3.1409397,0.0,0.0
SDCCAG8,42.578083,2.7185168,0.0,0.0
SMARCD3,41.938786,3.1942143,0.0,0.0
FRMD4B,41.502163,3.0260065,0.0,0.0
LHX2,41.246265,2.7425668,0.0,0.0
SOX11,40.002193,2.0445573,0.0,0.0
THSD7A,38.971497,2.9866295,0.0,0.0
NEFM,38.702538,5.3972774,0.0,0.0
AKT3,38.27096,2.213958,0.0,0.0
HDAC9,38.062515,3.2560205,0.0,0.0
SEMA3C,37.96279,4.2297997,0.0,0.0
TRIM58,37.07032,3.900243,8.452143266892839e-301,1.0803046544127176e-297
FSTL5,37.038544,2.8271232,2.746264379021532e-300,3.3505673726053154e-297
DOK6,36.623714,2.6042037,1.199574902584752e-293,1.3999039113164055e-290
ASS1,36.53924,3.4160254,2.642635291487053e-292,2.955457244116833e-289
ENAH,36.129047,1.9471102,7.937704192483696e-286,8.194458393479034e-283
SEMA3A,36.08057,3.4258316,4.5754527589092595e-285,4.5485084259956825e-282
CEP170,35.816067,1.6971864,6.209815119638805e-281,5.952773129508043e-278
EMX2OS,35.77477,6.5719876,2.726272877964168e-280,2.523306562670215e-277
GLUL,34.888783,1.7089036,1.0999013611015201e-266,9.8408174777753e-264
CDK6,34.79929,1.8569373,2.4930195696011374e-265,2.158552847344004e-262
ZFPM2,34.723156,3.1880589,3.5240462728062554e-264,2.9559039377622717e-261
KLHDC8A,34.413994,2.4539173,1.5573269982095102e-259,1.2666731502709534e-256
NEUROG1,34.049255,2.1523805,4.1628931773901685e-254,3.2863592874802795e-251
PRDX1,33.379498,1.5504535,2.7203121065055684e-244,2.0282193680754433e-241
PSMD14,33.36743,2.0703313,4.070649590175366e-244,2.9529812337809998e-241
DRAXIN,33.35042,2.0131614,7.182359206284777e-244,5.073202722523413e-241
CCND2,33.088413,1.5030859,4.362222495900209e-240,2.9271603503114374e-237
AP5M1,32.61366,2.0190856,2.626230805843511e-233,1.6783490728487067e-230
ETV1,32.57277,2.6582193,9.968832368611902e-233,6.222637897811909e-230
CENPW,32.176586,3.3515024,3.7526299011942826e-227,2.2891895267717214e-224
EIF4G2,32.08071,1.2244778,8.191994801364225e-226,4.780028966596025e-223
SHTN1,31.915771,2.1452305,1.613443078868829e-223,9.21413312338686e-221
NUCKS1,31.577919,1.2334123,7.421544046969924e-219,4.1500346617649944e-216
CHGA,30.711592,2.1142979,3.985621338323871e-207,2.1395612468390205e-204
KIF21B,30.483948,1.9334066,4.253448204084699e-204,2.2385647695262236e-201
EPHB6,30.471088,2.763561,6.2971483698755895e-204,3.250418449919821e-201
SYT6,30.228453,2.9129207,1.0016616917860568e-200,5.072754994194255e-198
CCDC102B,29.976631,2.8952794,1.9792496758468507e-197,9.837970472112095e-195
CKB,29.92015,1.4756961,1.0763170173507807e-196,5.158825904055769e-194
PODXL,29.89034,3.2973063,2.6273420555938827e-196,1.2372015458630773e-193
CBX3,29.883614,1.1884253,3.2132576237195425e-196,1.487018066866487e-193
MLLT11,28.922527,1.4684372,6.220010219441271e-184,2.7825215716670525e-181
TBR1,28.385515,1.822665,3.0524385430312877e-177,1.321459724733916e-174
PARP1,27.994709,1.5451621,1.8845360328069408e-172,7.903567446339234e-170
CCSER1,27.858286,2.3610375,8.548988790835112e-171,3.5302062789970034e-168
LMO2,27.70494,2.863499,6.087815128862228e-169,2.4758037253604703e-166
RCOR2,27.581991,2.233529,1.8300121344021354e-167,7.331247119326524e-165
SRP9,27.56922,1.3517492,2.6038673017550853e-167,1.0278000330354152e-164
IVNS1ABP,27.496235,1.7754679,1.9473738606893735e-166,7.575284318081663e-164
ISLR2,27.247545,2.91232,1.77695200411407e-163,6.813595534632251e-161
MEX3A,26.99816,1.3707169,1.5533302278509047e-160,5.872244597992414e-158
QSER1,26.9587,1.6824721,4.510446473925359e-160,1.6814568584254246e-157
CPLX3,26.616852,2.3662624,4.3323959753713133e-156,1.592956717464951e-153
