names,scores,logfoldchanges,pvals,pvals_adj
HK2,9.43756,,3.815615814237887e-21,9.037667617603858e-17
HSPB1,8.204419,,2.3170920392502094e-16,1.8294214013893485e-12
TAF1D,7.6315804,,2.3189340940144982e-14,1.1272370935262902e-10
RPS15A,7.628254,,2.379542965309234e-14,1.1272370935262902e-10
RPL37,7.6032066,,2.888815343574703e-14,1.1404080037985069e-10
RPS7,7.455694,,8.93957190368681e-14,3.024895715867511e-10
TOMM20,7.4045916,,1.3155451669035586e-13,3.8950003529097107e-10
RPS19,7.3682556,,1.728752540769938e-13,4.5496925200751947e-10
HSP90AA1,7.326174,,2.3681642905181175e-13,5.609233938521213e-10
GAS5,7.313071,,2.611055922162594e-13,5.622315506576655e-10
RSL1D1,7.30032,,2.870836698842054e-13,5.666553170731075e-10
RPL37A,7.2844706,,3.229365404794966e-13,5.883903767536427e-10
ATF4,7.200534,,5.997720692450414e-13,1.0147286594384321e-09
HSPH1,7.151699,,8.571022175547323e-13,1.2050980580756031e-09
LDHA,7.1433334,,9.109438721783744e-13,1.2050980580756031e-09
RPL24,7.1403093,,9.312102885150215e-13,1.2050980580756031e-09
RPL41,7.135169,,9.666834038434713e-13,1.2050980580756031e-09
EPB41L4A-AS1,7.0165343,,2.274392147080171e-12,2.684269173715212e-09
RPL13A,7.0091257,,2.398116734544102e-12,2.684269173715212e-09
RPL18,7.003683,,2.4931994351825832e-12,2.684269173715212e-09
RPS16,6.9684553,,3.2043952187469678e-12,3.1202806594590267e-09
TPT1,6.9646,,3.2933807517721717e-12,3.1202806594590267e-09
RPL30,6.952832,,3.580241866576986e-12,3.2616003404516343e-09
RPL27A,6.936201,,4.027836494469896e-12,3.5334568595560724e-09
HSPA5,6.9184866,,4.5649366146987674e-12,3.726419804137927e-09
HNRNPC,6.913069,,4.742790849726861e-12,3.726419804137927e-09
RPL23,6.911305,,4.802149448638126e-12,3.726419804137927e-09
DDX47,6.9051566,,5.014805372609483e-12,3.726419804137927e-09
RPL32,6.9046025,,5.034426823119719e-12,3.726419804137927e-09
RPS17,6.899915,,5.203352953741898e-12,3.734746001888807e-09
RPLP2,6.8932123,,5.4546276845097825e-12,3.799950333391138e-09
ZFAS1,6.8598247,,6.8945202739320534e-12,4.665817348810132e-09
SRRM1,6.84337,,7.735160861242072e-12,5.089306115538325e-09
DNAJB1,6.8183727,,9.207739707178611e-12,5.8944465595738535e-09
RPL17,6.806227,,1.0019145238220126e-11,6.245091424012682e-09
ARF1,6.7826414,,1.1799831706749292e-11,7.1664311232324035e-09
RPS27,6.7725115,,1.2656570977124753e-11,7.494588504104422e-09
RPS2,6.7548223,,1.4301056374870656e-11,8.261824909638693e-09
RPL14,6.7450957,,1.529263823433314e-11,8.624319743295589e-09
ALDOA,6.690415,,2.2253907214083097e-11,1.2258280145878424e-08
RPS18,6.636389,,3.2146078913017685e-11,1.7304818753039475e-08
RPS27A,6.6075115,,3.908338926562325e-11,2.0571759069901162e-08
RPL13,6.586093,,4.515519077280802e-11,2.325099670966806e-08
RPS12,6.5791125,,4.7326389740660696e-11,2.3850486540367856e-08
HSPA1B,6.5697136,,5.041210905857392e-11,2.4876275315862122e-08
PGK1,6.5654297,,5.1882953125802834e-11,2.507958423954624e-08
RPS29,6.54512,,5.944767724697238e-11,2.816155366543576e-08
RPS10,6.5274305,,6.690753216525413e-11,3.014781246906738e-08
RPL8,6.526473,,6.73364643862295e-11,3.014781246906738e-08
RPL28,6.524608,,6.817948514954871e-11,3.014781246906738e-08
RPL27,6.523399,,6.873181935867763e-11,3.014781246906738e-08
NACA,6.518863,,7.084231724464955e-11,3.050856593194126e-08
RPL22,6.4834337,,8.965819598976003e-11,3.713201114270055e-08
GPI,6.481317,,9.092529959793262e-11,3.713201114270055e-08
