names,scores,logfoldchanges,pvals,pvals_adj
FILIP1L,50.043392,3.0506678,0.0,0.0
SLC35F3,45.85963,2.7311518,0.0,0.0
PVT1,44.94902,1.4832212,0.0,0.0
SMYD3,44.65873,2.3069696,0.0,0.0
KCNQ5,44.367447,2.5245347,0.0,0.0
PDE4D,43.22838,2.231473,0.0,0.0
ZFPM2-AS1,43.1133,2.712215,0.0,0.0
TMEM132B,41.938812,2.6275353,0.0,0.0
CENPP,41.762627,2.6627696,0.0,0.0
LINC00879,40.94592,2.4059877,0.0,0.0
LARGE1,40.599407,2.305286,0.0,0.0
EDA,40.11876,2.5219865,0.0,0.0
GPHN,38.95798,2.1246297,0.0,0.0
AP001021.3,38.830326,2.504585,0.0,0.0
TTC28,38.394756,2.123434,0.0,0.0
DLGAP1,37.806965,2.2769961,0.0,0.0
TENM3,37.715595,2.1304414,0.0,0.0
SEMA6D,37.669853,2.2068238,1.5481119411259e-310,9.288925435598303e-308
MIR924HG,37.38522,2.8105206,6.79359745319305e-306,3.825422467451059e-303
CHRM3-AS2,37.15077,2.4169736,4.260459086903499e-302,2.3274188513396263e-299
MTHFD1L,37.09173,2.1562314,3.819192613124432e-301,2.025887954100976e-298
ZFPM2,37.04732,1.7629046,1.983346155119436e-300,1.0370350374789496e-297
AC023424.3,36.913857,2.257197,2.770162953208016e-298,1.4082046423662026e-295
L3MBTL4,36.895786,2.2230034,5.398735870004873e-298,2.7068374188773743e-295
FAF1,36.86148,2.128607,1.915023760141593e-297,9.471862789857088e-295
BRIP1,36.830833,2.7850509,5.928447870031145e-297,2.8931616065467994e-294
DENND1A,36.602146,2.0616992,2.643885480340558e-293,1.273274374551905e-290
MAML3,36.345913,2.0808342,3.048663232673881e-289,1.394801537238709e-286
MFSD4B,36.313564,2.1204777,9.884044234752778e-289,4.466245716496129e-286
AP001011.1,35.87389,2.2286577,7.802262862409848e-282,3.4406099159887086e-279
OGN,35.841877,2.8951664,2.4612351041856103e-281,1.0724245958130656e-278
AL137017.1,35.745285,2.5151663,7.831378286752984e-280,3.294669846821218e-277
SPATA5,35.607628,2.069554,1.0675021597885567e-277,4.390072646114715e-275
NR6A1,35.44153,2.0091586,3.917457751228139e-275,1.59314301280779e-272
CHRM3,35.331703,1.6851808,1.9149220522225593e-273,7.701984838834933e-271
ECM2,35.321686,2.8670259,2.7289214895191073e-273,1.073991993955794e-270
RFC3,34.85507,2.3181052,3.567570741263401e-266,1.3461511000101209e-263
SSH2,34.821995,1.9836257,1.1302901387645487e-265,4.221402996828699e-263
KCNQ3,34.799595,2.5528343,2.4667663964472517e-265,9.119809785491501e-263
AGAP1,34.63812,2.005816,6.744290682747972e-263,2.4684778327925852e-260
CMSS1,34.372818,1.7928636,6.426045326216152e-259,2.305879264557229e-256
SCMH1,34.32743,2.057431,3.0591233915365985e-258,1.0870580121711751e-255
SCFD2,34.271645,2.024826,2.076301804985961e-257,7.307184842720304e-255
BMPR1B,34.001083,2.1078706,2.1471290025509727e-253,7.413874398336619e-251
EXOC4,33.856285,1.9206868,2.9332360264110714e-251,9.849483651621251e-249
SLC8A1,33.83394,2.3641698,6.252593297038576e-251,2.0804651569537178e-248
PDE5A,33.816982,2.0138683,1.1101914226458396e-250,3.660731194618052e-248
TBC1D5,33.780586,1.7637603,3.8029201770248146e-250,1.2427739410650468e-247
ASPN,33.722282,2.87323,2.7257485285326823e-249,8.82877184892254e-247
CUX1,33.72148,1.8917454,2.800480668481234e-249,8.991262539217688e-247
MSI2,33.71603,1.7280586,3.36600310565583e-249,1.0712963449574699e-246
ACACA,33.69724,1.8513399,6.344532454645482e-249,2.0018640721765458e-246
ARHGAP28,33.661064,2.0006943,2.1478539189231174e-248,6.719111221068805e-246
CEP112,33.638443,2.2391284,4.601285983608284e-248,1.4272175278478542e-245
LINC01515,33.60022,2.1817744,1.6651809259238354e-247,5.121620762162882e-245
MAGI1,33.58755,1.9490324,2.5496439519537348e-247,7.77662652378822e-245
USH2A,33.495884,2.1077871,5.532957667118231e-246,1.673651103918962e-243
MIR99AHG,33.42001,1.3453062,7.02146361333918e-245,2.1064966369821912e-242
ADK,33.403587,1.8761506,1.216028493357987e-244,3.618525112633795e-242
CAMKMT,33.351765,1.947501,6.868281189635596e-244,2.0273061275955842e-241
MMS22L,33.27437,2.3994544,9.069907719103978e-243,2.655741539415397e-240
RAD51B,33.249035,2.0615108,2.108029782481657e-242,6.123491910207233e-240
FHIT,33.239315,1.9899324,2.912908186536993e-242,8.394909648459881e-240
SPIDR,33.04635,2.034684,1.7553774744043478e-239,4.904471064173552e-237
POU2F1,33.032417,1.9313834,2.782593912186567e-239,7.715584831813677e-237
CEP128,33.027,2.1313362,3.3282157758876175e-239,9.159099670170127e-237
ZRANB3,32.973385,1.963659,1.9558847473784346e-238,5.342338629761051e-236
LINC01122,32.79313,1.9892993,7.37810372215312e-236,1.9711384987921628e-233
GMDS,32.76384,1.9629234,1.928604960940041e-235,5.115135519954089e-233
RASAL2,32.453835,1.859397,4.7823440502745465e-231,1.2592703207489114e-228
AC092957.1,32.441795,1.9123642,7.07074650571196e-231,1.8485456632540246e-228
DIAPH3,32.06509,2.311527,1.3527550982208763e-225,3.486773897886077e-223
NFIA-AS2,32.03402,2.0904145,3.664990337013872e-225,9.38058121154159e-223
CCSER1,32.024036,1.8813852,5.047778863917737e-225,1.283012181932313e-222
SLC8A1-AS1,31.88685,2.7476604,4.06282435086231e-223,1.0185166716843246e-220
MYO19,31.860394,2.00802,9.449787149943586e-223,2.3528684318033003e-220
PRIM2,31.716372,2.0822651,9.24018181164646e-221,2.2851344222167036e-218
GALNT18,31.71008,2.3887196,1.1283507923790104e-220,2.771729352474105e-218
STAG1,31.699919,1.821373,1.5576715327945928e-220,3.8008223847876593e-218
LRRC7,31.695665,2.0983865,1.7827592400322603e-220,4.3212431089020374e-218
CDKAL1,31.644543,1.844267,9.014197553096773e-220,2.170583188426941e-217
RUNX2,31.638224,1.9579564,1.1011848718628255e-219,2.6342789212451816e-217
PARD3,31.608292,1.8006514,2.840244792435137e-219,6.750376600514185e-217
OMD,31.53576,2.7469387,2.811040329863946e-218,6.637863684732276e-216
MIR181A2HG,31.5187,1.7780296,4.816148346848056e-218,1.1299733695063185e-215
AL023755.1,31.40025,1.8572067,2.0075626731802627e-216,4.6213082642182895e-214
PDSS2,31.212759,1.8470238,7.15201514837449e-214,1.636068165285342e-211
COBL,31.209532,1.987566,7.911025475725196e-214,1.7984561704162604e-211
TRMT11,31.208567,1.7690836,8.153079521901356e-214,1.8420423677846393e-211
PKNOX2,31.198418,1.9927398,1.1194076452540496e-213,2.498258489264846e-211
FARS2,31.153183,1.8179051,4.5927306613952044e-213,1.018778999622581e-210
NFIA,31.121899,1.753328,1.21776070290851e-212,2.6850156317562877e-210
KIAA1211,31.121386,1.808392,1.2373689334280793e-212,2.7119125947545587e-210
AL157938.2,31.085173,2.1615047,3.821081313920946e-212,8.275467288214233e-210
LDLRAD4,31.057821,2.2455902,8.94601189649353e-212,1.9260763613150568e-209
AP001172.1,30.991083,1.8210813,7.1086763604446615e-211,1.5215477395826613e-208
AGBL1,30.978827,2.0954866,1.0396519199247567e-210,2.212343018672443e-208
SORCS2,30.936825,1.7978184,3.8211337846158824e-210,8.084238014492827e-208
AC233296.1,30.90707,2.270591,9.597998213860193e-210,2.0189444403764192e-207
AUTS2,30.828482,1.6078503,1.0884937542223515e-208,2.2636340851302435e-206
EFNA5,30.771852,2.313888,6.238912941698908e-208,1.290115551294473e-205
FBXL7,30.714077,1.8504747,3.692470461196373e-207,7.592590525294856e-205
AC002429.2,30.673286,2.1330948,1.2931248317805598e-206,2.6441151937430315e-204
