names,scores,logfoldchanges,pvals,pvals_adj
PCAT1,19.962194,0.7676374,1.1743817461604932e-88,9.145435381110684e-86
GNGT1,19.837454,1.2343087,1.4144214571233454e-87,1.0565150969830933e-84
CENPF,18.735199,1.1395936,2.556842042064977e-78,1.6418065891512318e-75
CASC8,18.6929,0.7083134,5.655416706530557e-78,3.5688604633745677e-75
KTN1,13.500392,0.33728644,1.5554676353357354e-41,5.422063897230786e-39
SNHG5,13.327744,1.0007839,1.5965294090176062e-40,5.081267208648123e-38
MT-CO1,13.0785265,0.6652371,4.368264719555424e-39,1.2689115634956197e-36
HNRNPU,12.363666,0.5191808,4.1098044624726887e-35,1.0821795189277906e-32
EEF1A1,11.418362,0.39036793,3.385549032577317e-30,7.080827436649279e-28
HSPD1,11.414431,0.43652645,3.542142072349012e-30,7.366246703979898e-28
RPLP1,10.971704,0.40628687,5.2278063605101715e-28,9.863038175310968e-26
PELI2,10.8763895,0.36002642,1.4936313385595493e-27,2.7471558101818124e-25
ZNF124,10.659823,0.6995926,1.568952916059693e-26,2.734535508604801e-24
MT-CO2,10.465109,0.62958866,1.2493338764063911e-25,2.0975628078142352e-23
ZEB2,10.303925,0.45248482,6.764394607192464e-25,1.1102403902145802e-22
MT-ND4,10.240745,0.6437921,1.3022993821824387e-24,2.0724112907504105e-22
KIAA0586,10.071444,0.37486517,7.388546299872454e-24,1.1267840963401318e-21
CTBP2,9.740655,0.4470302,2.022473743872059e-22,2.9374825991849695e-20
CCDC88A,9.559734,0.5327076,1.1805942131584799e-21,1.6813590971133666e-19
MAP2K6,9.423334,1.7977613,4.369856290801598e-21,6.12801188121185e-19
RPL37A,9.353936,0.3498097,8.444553902111113e-21,1.1363202844528267e-18
TBC1D8,9.335386,0.42324743,1.0062407453743632e-20,1.344139325600258e-18
POU2F1,9.232328,0.5352664,2.648118008907475e-20,3.486466447626708e-18
TMEM161B-AS1,8.974206,0.89692384,2.854040584166999e-19,3.517196613504927e-17
OTX2,8.853362,0.25830907,8.492183722880192e-19,1.0190898899709441e-16
RTN4,8.814598,0.3554338,1.2011558168038892e-18,1.427386495157115e-16
NUP210L,8.7333,1.439731,2.473479857352485e-18,2.829119883092447e-16
HSP90AB1,8.703675,0.38768387,3.2130501451734973e-18,3.663577830638479e-16
NSUN6,8.485178,0.72418165,2.1538935914345677e-17,2.374537931930621e-15
NCL,8.424839,0.5096454,3.612451386448824e-17,3.888803917512159e-15
MT-CO3,8.414033,0.5390226,3.9615040723352604e-17,4.239620191565581e-15
ENAH,8.351263,0.25942507,6.75365558208553e-17,7.144235490170883e-15
TCF7L2,8.157972,0.3343978,3.406948672676235e-16,3.473474327816793e-14
ARID4A,8.09395,0.75896174,5.776043351503456e-16,5.760462199138366e-14
WDHD1,8.087972,0.39591208,6.066659773762454e-16,6.001238226472421e-14
RFC3,7.9760637,0.55641484,1.510742506127552e-15,1.4667025588003854e-13
