names,scores,logfoldchanges,pvals,pvals_adj
NNAT,76.62752,4.0747247,0.0,0.0
NUDT4,59.33429,2.7967548,0.0,0.0
DRAXIN,57.615463,2.7479012,0.0,0.0
ZIC1,57.454155,2.0655751,0.0,0.0
CNTNAP2,56.32889,3.4355042,0.0,0.0
CACNA2D1,54.4758,2.379964,0.0,0.0
SOX4,54.035603,1.834227,0.0,0.0
EOMES,49.400524,2.3597133,0.0,0.0
ZIC4,49.102123,2.262295,0.0,0.0
LHX1,48.562553,2.30517,0.0,0.0
CPE,47.778103,1.7743825,0.0,0.0
PTPRO,45.691635,2.534203,0.0,0.0
CSRP2,43.943546,2.1076932,0.0,0.0
SOX11,40.884045,1.669297,0.0,0.0
NHLH2,40.40461,2.7273393,0.0,0.0
SYNE2,40.22494,1.4885719,0.0,0.0
H3F3B,40.176945,1.0370696,0.0,0.0
CNTN1,40.166386,2.2841575,0.0,0.0
LINC00461,39.760616,1.6349076,0.0,0.0
KCNA5,38.35155,2.9323912,0.0,0.0
BARHL1,38.19381,1.5717338,0.0,0.0
HSP90AA1,37.650726,0.9663431,3.18353594965934e-310,3.715186453252453e-307
NBEA,37.350903,1.542235,2.4514739890421384e-305,2.7416672224950017e-302
RSPO3,37.20309,2.892359,6.082380930113613e-303,6.53028746180718e-300
UNC5D,37.181614,2.3315272,1.3527922303143036e-302,1.3965498559179316e-299
NEUROD1,36.656044,1.6417052,3.6660029268101235e-294,3.644414242907797e-291
ERBB4,36.59867,1.9799335,3.0029224302065623e-293,2.878622891041941e-290
PAX6,36.51544,1.9548267,6.307677733718555e-292,5.838082001749647e-289
HECW2,36.223156,2.730946,2.6303495392229494e-287,2.353373732742773e-284
RIPOR2,35.81993,2.3044999,5.406891048976349e-281,4.681495569212071e-278
CMC1,35.721546,1.8804368,1.8302030918967094e-279,1.5351400371749867e-276
MAB21L1,35.080597,1.4267287,1.3325089864267075e-269,1.0838143546872502e-266
TRPM3,34.667717,1.8873719,2.4161169233287817e-263,1.9073821864431712e-260
CTTNBP2,34.105225,2.3503199,6.17150123171883e-255,4.732836130301861e-252
BHLHE22,34.075897,1.9015192,1.6786520302470766e-254,1.2515749762183829e-251
CALM1,34.05724,1.0834457,3.171480562926436e-254,2.3006948591759047e-251
RALYL,33.497322,1.8530241,5.272279135951696e-246,3.724032744423144e-243
KHDRBS2,33.304623,1.8229208,3.3098213134026407e-243,2.2779208685394942e-240
ZNF385D,33.202244,2.16435,9.991670404640802e-242,6.704660633274094e-239
PRAME,32.89484,2.6132274,2.604967237198331e-237,1.705364039357083e-234
FAM89A,32.867123,2.5569098,6.485911923220287e-237,4.1449609983608505e-234
SHTN1,32.67881,1.817302,3.1239810428346304e-234,1.9500180272261468e-231
SPATS2L,32.5855,1.8514147,6.582270998336844e-233,4.015334906053619e-230
C6orf62,32.396927,1.3129995,3.0322568225120316e-230,1.7693218559357704e-227
LSAMP,31.715374,2.153397,9.537450462644948e-221,5.44669591208198e-218
PRL,31.53046,1.6219907,3.322847937170989e-218,1.8580950308668026e-215
TMSB10,31.482796,1.0533781,1.4940464079622623e-217,8.184020333901037e-215
JUND,31.359716,0.9792916,7.171792839006434e-216,3.849961831835434e-213
CXXC5,31.237492,1.1844332,3.301453391336256e-214,1.737535499546205e-211
PRDX1,31.13549,1.1895131,7.973325875653785e-213,4.1156161505466006e-210
PHLDA1,31.1211,1.7160428,1.2484533298293256e-212,6.322591665273383e-210
PTMA,31.10244,0.80972403,2.2323504023891863e-212,1.109602169454225e-209
MIR99AHG,31.024155,1.2643553,2.5466752236705625e-211,1.2428238123371193e-208
MARCKSL1,31.014069,1.1323122,3.4832117826963777e-211,1.669515847488455e-208
STMN1,30.881475,1.0938829,2.1180686396920875e-209,9.973873747013214e-207
NRN1,30.596214,1.2684065,1.3744700763692288e-205,6.360715744797668e-203
AKAP9,30.574581,1.0008421,2.665490087163281e-205,1.2126172784669429e-202
OLFM3,30.45345,2.7328079,1.078334384701321e-203,4.82392886996136e-201
EDIL3,30.36307,1.8452109,1.6889370164396278e-202,7.311735235202589e-200
MARCKS,30.052597,0.9617142,2.0191628999861326e-198,8.602595460083774e-196
SIX6,29.857918,3.1849756,6.928886738615637e-196,2.905910139862224e-193
TMSB4X,29.784746,1.1639428,6.157335565980684e-195,2.5426006757921156e-192
UNCX,29.777771,1.2414438,7.580404799292162e-195,3.0828128063303168e-192
DDX31,29.544113,1.7712357,7.816310970945713e-192,3.0852588642816743e-189
GTF2I,29.35243,0.8622008,2.2248468447094526e-189,8.654654225919771e-187
AL135925.1,29.294937,2.6535861,1.2031719623110037e-188,4.613476948627093e-186
ELP4,29.259031,1.9183307,3.446681611452358e-188,1.3029912835632781e-185
NDUFB2,29.221199,1.0663679,1.0432539701071257e-187,3.889163862728522e-185
CADPS,29.152874,1.2241617,7.681810146498018e-187,2.824485837563744e-184
OTX2,28.788803,1.1312277,2.9621734784023512e-182,1.0744283558621285e-179
GADD45G,28.766993,1.2900777,5.5528735353652035e-182,1.987262380836499e-179
IGSF21,28.622253,1.3163576,3.551774853788877e-180,1.25438406382299e-177
HIST1H4C,28.558987,1.1367345,2.1724602121800383e-179,7.572857734431741e-177
RBFOX2,28.535885,1.0885344,4.2045814782167296e-179,1.4468611725232723e-176
MYT1L,28.509157,1.293418,9.020439864731252e-179,3.064780081129766e-176
TUBA1A,28.477089,1.0084667,2.251753627912942e-178,7.461644336643367e-176
ACTC1,28.229454,3.1509633,2.544519157204524e-175,8.328955938844712e-173
DCC,28.159594,1.6958388,1.8284871023473102e-174,5.77393203695343e-172
COL27A1,28.131348,1.43148,4.053159089766977e-174,1.2650098038190167e-171
ZNF804A,28.080738,1.8889832,1.6839727506738472e-173,5.195346275958246e-171
ODC1,27.687578,1.071477,9.853428574492955e-169,3.005407685999607e-166
MDK,27.656239,1.1103287,2.348001061800607e-168,7.081201853908999e-166
PHACTR2,27.547747,1.3972137,4.709072799324533e-167,1.4044024778518866e-164
H3F3A,27.33766,0.787661,1.5139650532795137e-164,4.465531428030267e-162
PKM,26.892542,0.9734557,2.684855441826328e-159,7.833065751528311e-157
SPOCK1,26.859518,2.1052873,6.529734843286128e-159,1.8845657304155156e-156
NEUROD2,26.654442,1.3423389,1.5896077906850157e-156,4.53900667125282e-154
YWHAE,26.46194,0.91298115,2.659215379624322e-154,7.5132631583680445e-152
LHX1-DT,26.165583,1.266401,6.55231402654762e-151,1.8319860498600488e-148
CPNE4,26.090916,2.641201,4.6226376684658824e-150,1.2791362645287912e-147
DDAH2,25.800869,0.9766421,8.670281879301667e-147,2.3506973325488492e-144
NUTM2B-AS1,25.774971,1.6121175,1.6924481073394516e-146,4.542699964909822e-144
AMER2,25.656504,0.9720956,3.577373610542226e-145,9.50695891886771e-143
TBR1,25.611536,1.3817796,1.1348586320427648e-144,2.9863471120254754e-142
TSC22D1,25.503077,1.1582817,1.8223206440209837e-143,4.748826058851187e-141
ATP2B1,25.319563,0.98512787,1.9453434817472935e-141,5.02066965322876e-139
SYT6,25.283514,2.194771,4.8499542921034303e-141,1.2397868871842684e-138
CLIC6,25.00882,4.7545915,4.901810189925343e-138,1.2412215783753408e-135
RSBN1L,24.852669,0.9785556,2.419658049654922e-136,6.069723524372688e-134
DYNLL1,24.756685,0.8754716,2.6267116239315624e-135,6.5281080275876904e-133
LAMA2,24.681984,2.5478916,1.6698288174146512e-134,4.111915164057491e-132
HES6,24.589792,0.96464807,1.62436549605936e-133,3.963599479975389e-131
AP1S2,24.57898,1.1027005,2.1199179736575132e-133,5.126190840625344e-131
MT-ND6,24.451967,0.8838071,4.7956685140336826e-132,1.1492905230819472e-129
CHD3,24.44956,1.0788561,5.086979386636788e-132,1.2083151656346728e-129
CD24,24.4271,0.9646861,8.815339327345761e-132,2.075548446362172e-129
AES,24.263693,0.7764967,4.7407750950926635e-130,1.1064969071946276e-127
DPYSL3,24.201292,0.95058167,2.156132365107654e-129,4.989030069987461e-127
ANKS1B,24.066803,1.4055582,5.568072896819737e-128,1.2773730309704148e-125
