names,scores,logfoldchanges,pvals,pvals_adj
B2M,64.44036,5.739098,0.0,0.0
HLA-B,61.559483,5.621509,0.0,0.0
PTPRC,60.503635,5.8960185,0.0,0.0
BTG1,60.020565,3.1169326,0.0,0.0
ZFP36L2,59.55588,5.193664,0.0,0.0
HLA-A,59.235302,4.014854,0.0,0.0
HLA-C,59.13004,5.3540683,0.0,0.0
HLA-E,58.376236,5.241016,0.0,0.0
TXNIP,50.55649,3.6380036,0.0,0.0
CD52,50.192993,7.678578,0.0,0.0
ETS1,48.61982,8.592201,0.0,0.0
CXCR4,47.601616,4.257455,0.0,0.0
CD2,47.182484,9.996679,0.0,0.0
IKZF1,46.764675,5.8786716,0.0,0.0
CORO1A,46.546993,5.1530843,0.0,0.0
MYL12A,43.88093,3.708037,0.0,0.0
HLA-F,43.78208,5.7203345,0.0,0.0
ACAP1,43.58715,7.344387,0.0,0.0
CYBA,43.390343,3.9057772,0.0,0.0
IL32,43.34558,9.569775,0.0,0.0
HCST,43.223583,5.2172256,0.0,0.0
CCL5,42.94667,8.7657385,0.0,0.0
CD3D,42.69795,10.901878,0.0,0.0
RPL28,42.60747,1.8369175,0.0,0.0
ARHGDIB,42.531704,4.4126973,0.0,0.0
STK4,40.793022,3.2722328,0.0,0.0
S100A4,40.745335,5.092885,0.0,0.0
TSC22D3,40.0083,3.6278615,0.0,0.0
GIMAP7,39.51076,5.9481807,0.0,0.0
CD3G,39.167244,10.675235,0.0,0.0
FYB1,38.988087,4.3394823,0.0,0.0
GMFG,38.977577,4.521256,0.0,0.0
CD48,38.945744,5.58318,0.0,0.0
SRGN,38.877476,3.719917,0.0,0.0
GZMA,38.80298,11.052734,0.0,0.0
CD3E,38.587677,10.309398,0.0,0.0
LCP1,38.302235,4.6385245,0.0,0.0
CD69,37.956814,6.7417874,0.0,0.0
ISG20,37.81528,6.6643243,0.0,0.0
PFN1,37.72939,2.7092512,0.0,0.0
RPS29,37.491882,1.6044225,1.2489738297514178e-307,4.530230616805109e-305
SH3BGRL3,37.490826,2.9982543,1.299511700315473e-307,4.650692473089014e-305
RAC2,37.435,5.9970617,1.0536678537930097e-306,3.721249850481338e-304
RPS27,37.307575,1.598827,1.2368212489843578e-304,4.244605942105701e-302
EEF1D,37.034996,1.9581845,3.1318781952594474e-300,1.0128041281802268e-297
TRBC2,36.897125,7.7589293,5.13877917202626e-298,1.6227055500747866e-295
TMSB4X,36.321564,1.7600181,7.389684934416727e-289,2.2798452106284983e-286
RNF213,35.937935,2.8858962,7.812228188653576e-283,2.3560451327151757e-280
RPL13,35.908264,1.383693,2.2698200410132796e-282,6.769359968981938e-280
CD44,35.180992,4.520626,3.905219112866854e-271,1.0806184145201982e-268
CD53,35.10251,3.976655,6.172195861459039e-270,1.6904888685451232e-267
CLIC1,34.913067,3.254919,4.709635688648293e-267,1.2464331909681941e-264
RPL41,34.455864,1.3432118,3.67842675321448e-260,9.227350699348586e-258
LCK,34.209057,10.17406,1.7734530113240557e-256,4.327386570631725e-254
RPS3,34.13456,1.3667148,2.2662933704406113e-255,5.431212531785398e-253
ARL4C,33.983944,3.231428,3.8469468928485594e-253,8.901370823357603e-251
TRAC,33.886505,3.7908769,1.0529846566790836e-251,2.3951831499934986e-249
SP100,33.72223,4.697914,2.730401040437826e-249,6.158545741713587e-247
RUNX3,33.598545,6.495466,1.7615943986188073e-247,3.940246271110617e-245
KIAA1551,33.433914,2.8854494,4.409337923826397e-245,9.70090485355937e-243
CD37,33.401833,4.024504,1.2895007878697909e-244,2.8139423290417117e-242
TBC1D10C,33.287548,7.424719,5.846791013545876e-243,1.2655944967305232e-240
TRAF3IP3,33.28643,6.0909147,6.068431670221183e-243,1.3030621956832542e-240
ITGB2,33.10017,3.4468489,2.955262932874769e-240,6.197047842288411e-238
S100A6,33.092854,2.7283976,3.7654447776109325e-240,7.834752191926747e-238
TPT1,33.0134,1.3346609,5.216787817371849e-239,1.07710616773906e-236
RPS15A,32.820724,1.3008051,2.981162339816391e-236,5.971446146493414e-234
STK17B,32.72715,4.0757375,6.419547862857392e-235,1.2669638543158474e-232
VIM,32.678104,2.524112,3.197186536106182e-234,6.2639185266880314e-232
PIK3IP1,32.520203,4.267748,5.525427450743153e-232,1.0669640158661654e-229
IKZF3,32.34779,9.000441,1.49022318846868e-229,2.777713930672767e-227
ARPC2,32.32194,1.8373053,3.440169705613501e-229,6.368110004715309e-227
CYTIP,32.30072,5.9279933,6.834017889462066e-229,1.2563826998017213e-226
SLFN5,32.24183,5.4799824,4.5798746598708596e-228,8.305974036864443e-226
RARRES3,32.11383,5.8147306,2.8268337578419706e-226,5.092284892230626e-224
CD247,32.01944,8.273655,5.849154765632852e-225,1.0397163116844463e-222
ARPC1B,31.991175,3.168241,1.4465858447316142e-224,2.55446122752903e-222
LAPTM5,31.9309,3.1537302,9.949175928210383e-224,1.7340638382408758e-221
MYH9,31.709229,3.6985412,1.1592267936902842e-220,1.994538869835956e-218
RPL23A,31.656641,1.2072786,6.144227179603777e-220,1.0437797577705379e-217
EMP3,31.23518,4.0440726,3.548817259756873e-214,5.808158784703307e-212
GIMAP4,31.108665,4.3190765,1.8389369315853104e-212,2.9734280831735734e-210
NEAT1,31.06321,2.1096578,7.566399660678503e-212,1.2088674600730458e-209
LSP1,31.05651,4.5271964,9.318353344574771e-212,1.4799640362232628e-209
CD99,30.971813,3.0438886,1.2921890767742737e-210,2.0282834508595486e-208
RPS25,30.691238,1.216582,7.449971265988694e-207,1.155865195089032e-204
PSMB9,30.669678,4.5298424,1.4446261978709492e-206,2.2284604469571348e-204
NKG7,30.213545,8.486287,1.5725319919621857e-200,2.3982006361509674e-198
FAU,30.20623,1.0816371,1.9619498190170216e-200,2.958466016417746e-198
RPS12,29.993671,1.2529881,1.1867187988913709e-197,1.769595515613516e-195
CLEC2D,29.786003,4.1495,5.930799405629516e-195,8.698829882322505e-193
RPL30,29.767193,1.1463275,1.0390679588397874e-194,1.5157403849575398e-192
RPS27A,29.75093,1.12295,1.6866907233021392e-194,2.4471603083325794e-192
AKNA,29.738054,3.3735933,2.474974464287684e-194,3.5715478277390175e-192
RPL36AL,29.68798,1.5277385,1.0976132888323773e-193,1.5754565928101518e-191
RPS19,29.536007,1.2022094,9.933814518963552e-192,1.403334292123688e-189
GZMK,29.493843,10.261074,3.4529200532096026e-191,4.852346971109892e-189
ICAM3,29.472013,5.6337895,6.57685711545331e-191,9.146602167662294e-189
EMB,29.382277,5.1152806,9.251309848194901e-190,1.2669102430377518e-187
STK17A,29.252651,2.912338,4.154805147168249e-188,5.5759562477571484e-186
MSN,29.190746,3.4250576,2.541483688005614e-187,3.377027904443499e-185
CCL4,29.118,4.41127,2.1245181399628296e-186,2.8090734677212963e-184
IL7R,28.96598,9.089054,1.7657380307498657e-184,2.2895736465389927e-182
GZMM,28.760551,8.674826,6.684786468066736e-182,8.503618653525083e-180
IFI16,28.651497,3.5889382,1.5357101868880757e-180,1.9443394870878697e-178
TRBC1,28.618916,7.7814584,3.908216470199415e-180,4.90188963909451e-178
RPLP2,28.586655,1.1501784,9.844914105449709e-180,1.2290573930436076e-177
MBNL1,28.579498,2.6009536,1.2082494187671444e-179,1.50141771523745e-177
RPLP1,28.539154,1.1182052,3.829766282492009e-179,4.715355815980184e-177
APOBEC3G,28.481441,6.126026,1.988959907488757e-178,2.4377019578495764e-176
IL2RG,28.236755,6.6997027,2.0699941159015576e-175,2.4915117517898523e-173
CST7,28.111225,8.879844,7.142732104630735e-174,8.483100549574936e-172
ID2,27.88832,3.4940698,3.6970265433844896e-171,4.3144299761296994e-169
ANXA1,27.834616,3.9414632,1.6539808899937516e-170,1.9053433934902268e-168
S100A10,27.4777,2.8416348,3.243497997982848e-166,3.627447073494068e-164
CD27,27.323278,8.676644,2.2440992522875816e-164,2.478760001261357e-162
TUBA4A,27.2002,5.025419,6.459795028232694e-163,7.0197311074005565e-161
RPS14,26.877745,1.0278237,3.9988292556267107e-159,4.176364826859009e-157
RPS28,26.599478,1.02541,6.883062130703342e-156,6.998040554932135e-154
AHNAK,26.588066,3.2724178,9.327628261299013e-156,9.412137975997248e-154
DDIT4,26.497768,2.767663,1.0283569506432395e-154,1.0261014465507507e-152
KLF2,26.450058,4.212729,3.643141086565854e-154,3.6216870335005216e-152
KLF6,26.349394,2.2082057,5.215280632756178e-153,5.127595145194453e-151
RPS2,26.199387,1.1480665,2.7005363476921708e-151,2.6262715981306364e-149
CCND3,26.094133,3.7609425,4.24996251915735e-150,4.074044427739373e-148
RPL26,25.89871,1.0965757,6.886342512508428e-148,6.53131870594483e-146
GZMH,25.738613,10.60098,4.323392065553747e-146,4.0574883367667176e-144
BTN3A2,25.735407,4.290787,4.6959441191100645e-146,4.3917712927189285e-144
