names,scores,logfoldchanges,pvals,pvals_adj
APOD,27.385143,10.017242,4.1222216742777473e-165,1.1064455195928901e-160
S100B,24.857615,6.7033753,2.1394026187093486e-136,2.871185284438881e-132
PTN,21.968588,4.4071345,5.752914045304017e-107,3.860349147250128e-103
MT3,21.92517,5.924106,1.494755645228708e-106,8.024147254716749e-103
CLU,20.864483,5.0421004,1.1260412203675838e-96,4.31772462798376e-93
B2M,20.789507,2.486413,5.386169783763815e-96,1.807127289575057e-92
CST3,20.758333,3.2330492,1.0308196288905907e-95,3.0742477398947055e-92
SPARC,19.294537,5.3478093,5.969761090033613e-83,1.3352863118132684e-79
METRN,19.059996,3.602156,5.427927106357753e-81,9.712732764116564e-78
GPM6B,18.132936,3.915209,1.751499000557583e-73,2.4743149828403202e-70
PMP2,17.050615,6.603295,3.458683475475478e-65,3.2011904539737003e-62
CD63,16.669127,1.7630208,2.197842332706552e-62,1.7876450318841382e-59
PTPRZ1,16.217607,3.9198546,3.786547191471625e-59,2.419874123006902e-56
QKI,15.98391,2.8265605,1.6543613396778868e-57,1.0091980163248672e-54
BCAN,15.962995,8.948856,2.3135896320763694e-57,1.3799790958791516e-54
OLIG1,15.922981,6.2452154,4.389560897859452e-57,2.506812852328629e-54
TSC22D4,15.802465,4.2705,2.991812070065918e-56,1.5151552409931943e-53
FTH1,15.759496,1.333658,5.910223896973401e-56,2.9377096225678344e-53
RBP1,15.591694,2.8733106,8.29052762022726e-55,3.9039658220091214e-52
ZCCHC24,15.390473,6.317511,1.8964115557619704e-53,8.079616280667785e-51
NTRK2,15.178804,4.9075065,4.88606764843646e-52,1.9286314963482794e-49
TNR,14.956662,6.1900897,1.4091839381473747e-50,5.3273107160300964e-48
SPARCL1,14.648402,5.8718133,1.3792062255762e-48,4.8709571448277345e-46
FABP7,14.473252,3.8574831,1.7881385131289351e-47,5.853100711084603e-45
PTGDS,13.974122,5.0046806,2.242619872250042e-44,6.270224999069102e-42
PDGFRA,13.353138,6.7057395,1.1356201615190505e-40,2.7460523203002553e-38
SCRG1,13.08575,4.4985046,3.9722281824943066e-39,8.73922759396145e-37
PCSK1N,12.977003,2.3571265,1.6521894029394688e-38,3.51955680669034e-36
ITM2C,12.897531,3.2484562,4.6475184447604763e-38,9.670080819830694e-36
SERPINE2,12.769237,4.742017,2.43530999033359e-37,4.951981473526052e-35
CD59,12.757605,2.891538,2.8276224928425793e-37,5.66389666644684e-35
PLEKHB1,12.417151,4.4382157,2.1093894401135735e-35,3.7005308471953224e-33
SEMA5A,12.308205,6.3852525,8.182340763293166e-35,1.3988675696022413e-32
BCAS1,12.241847,6.881457,1.8575676979240484e-34,3.0401813768280115e-32
FEZ1,12.210564,3.2110703,2.729912335762177e-34,4.440822848738945e-32
DBI,12.098185,1.7037631,1.0797216759468316e-33,1.694784181525667e-31
DNER,12.010675,4.8583922,3.122836448917319e-33,4.708991748617402e-31
VIM,12.003088,2.0722933,3.422816119648454e-33,5.132503210473975e-31
CD81,11.728631,1.6454059,9.091684759550728e-32,1.2776435111575973e-29
TIMP1,11.476765,3.584164,1.7261933658789407e-30,2.175246766833646e-28
RAB31,11.329961,3.7773993,9.324662299482455e-30,1.112370047912927e-27
HLA-C,11.220883,1.7919006,3.2203606410995774e-29,3.725762929644559e-27
PLP1,11.200094,7.194789,4.0729814157713873e-29,4.6444353984945835e-27
RARRES2,10.977874,4.8976183,4.8828179468509205e-28,5.327630752496973e-26
EPN2,10.4345665,2.16515,1.7239825465539366e-25,1.5847060113717197e-23
APP,10.363525,1.3584037,3.6331844309570323e-25,3.2290828911032356e-23
GSN,10.275085,2.5462332,9.126358651390685e-25,7.826217014759661e-23
S100A13,10.241364,4.159345,1.2940000072423423e-24,1.0922092513959657e-22
SELENOM,10.19231,2.9536347,2.1460166903645367e-24,1.7778158637677326e-22
CD9,10.049557,2.367055,9.228147030708162e-24,7.263715379801694e-22
ABHD2,10.043887,2.5840075,9.77442390867261e-24,7.67120795709595e-22
PON2,9.904018,3.8174486,3.998783705623494e-23,2.989731293666858e-21
TIMP2,9.838864,1.8246688,7.657035066237095e-23,5.600067526236236e-21
ITM2B,9.806484,1.0317714,1.0558274396091976e-22,7.618135566277009e-21
FOS,9.800278,1.3531998,1.1227658352941954e-22,8.079398870008445e-21
SELENOP,9.672328,2.8898005,3.952832739272579e-22,2.7065812131330435e-20
PLPP3,9.599478,6.3148704,8.035068013403994e-22,5.432475076770192e-20
TIMP3,9.581373,3.2355664,9.576276734490907e-22,6.409896354874574e-20
S100A16,9.57631,4.888556,1.0057429363573673e-21,6.698547432944937e-20
PEBP1,9.490974,0.81059414,2.2888522661338475e-21,1.469738843906665e-19
PLA2G16,9.490524,3.1948352,2.298742002314558e-21,1.4725664459218389e-19
NENF,9.459488,2.0719962,3.0945545085648163e-21,1.9682686626632282e-19
ATP1A2,9.394297,4.324783,5.760162220490638e-21,3.5624081603730236e-19
