names,scores,logfoldchanges,pvals,pvals_adj
HSP90AB1,54.80581,1.8377776,0.0,0.0
PABPC1,50.7664,2.0893614,0.0,0.0
RPS18,48.048088,2.017704,0.0,0.0
HLX,46.573814,6.0306616,0.0,0.0
CDHR1,46.17628,2.9708195,0.0,0.0
TOMM20,45.347782,2.2467153,0.0,0.0
RPS2,45.33324,1.9355317,0.0,0.0
RACK1,42.281544,1.6504818,0.0,0.0
SEZ6,41.179935,2.3269331,0.0,0.0
RPL30,41.145275,1.6153324,0.0,0.0
RPL23,40.993702,1.5667163,0.0,0.0
PSMD14,40.93976,2.1335607,0.0,0.0
NPM1,40.843838,1.611493,0.0,0.0
EEF1A1,40.54172,1.4155664,0.0,0.0
ROBO3,40.421864,3.1423206,0.0,0.0
RPL10A,40.3018,1.5601513,0.0,0.0
EPB41L4A-AS1,40.107517,2.1843321,0.0,0.0
ZFAS1,39.7353,1.9375126,0.0,0.0
RPL37,39.56344,1.5360043,0.0,0.0
FZD3,39.089615,2.3966231,0.0,0.0
MYC,38.762157,3.3057837,0.0,0.0
TRIM58,38.742355,3.7090914,0.0,0.0
LMO3,38.47914,3.5455923,0.0,0.0
SNHG7,38.268604,2.1146398,0.0,0.0
SORBS2,37.978367,2.8840847,0.0,0.0
SMARCD3,37.596016,2.3312235,2.497300352231915e-309,2.4825940279354375e-306
RPS12,37.452343,1.6113036,5.501421796629056e-307,5.273702230118589e-304
LHX2,37.287636,2.0476165,2.6032138890448404e-304,2.409409103305261e-301
RPL7,37.204166,1.5153804,5.843644348513544e-303,5.2283085986150684e-300
RPLP0,36.92388,1.5105485,1.912517695816032e-298,1.6559318539805841e-295
SSBP3,36.62467,1.8648471,1.1584348955510456e-293,9.716734697339254e-291
RPS14,36.60856,1.4402449,2.0904096851018326e-293,1.7002632229641904e-290
GABRA5,36.589138,3.0779166,4.2573143652217727e-293,3.3608992610858115e-290
HLA-B,36.316933,2.149859,8.74536000718601e-289,6.706691655796564e-286
RPL12,36.171787,1.508581,1.691084991333035e-286,1.2608447847880553e-283
C6orf48,36.148045,1.7634093,3.993173797842701e-286,2.896777781294485e-283
TAF1D,35.851994,1.6973015,1.7121423042595306e-281,1.2093581997007911e-278
TBR1,35.355553,2.0320761,8.237687366129901e-274,5.669429912674171e-271
ACTG1,35.35084,1.053379,9.73134355796959e-274,6.529974810986544e-271
PALMD,35.30513,3.1179898,4.899157528311526e-273,3.207275297985602e-270
RPS20,35.18296,1.3951504,3.6440884632495723e-271,2.328832820049566e-268
RPS21,35.068245,1.2732494,2.0555452404660276e-269,1.2830904604499686e-266
NPW,35.067516,3.7095747,2.1087888006426632e-269,1.2864090954102209e-266
PPA1,35.05768,1.5960381,2.9783181188310715e-269,1.7764674806121065e-266
OLFM2,35.017365,3.4271433,1.2244220781355776e-268,7.144502825921096e-266
ZFPM2,34.91471,2.5223513,4.44692660249998e-267,2.5395735518659994e-264
CHGA,34.848965,2.0197763,4.4140942668766526e-266,2.4683063378590882e-263
RPS23,34.471275,1.3525966,2.1619621116419815e-260,1.18426989874658e-257
RPL38,34.160202,1.2442899,9.434826840947585e-256,5.064803744757483e-253
NXPH4,33.98278,3.0430698,4.0021000565054784e-253,2.106281717973795e-250
RPS10,33.722374,1.3388977,2.7172414900949604e-249,1.4025669006853622e-246
WASF1,33.621883,2.347427,8.034004577224403e-248,4.068692770892079e-245
RPL8,33.45495,1.3123417,2.180844113096459e-245,1.0840006822152232e-242
ART3,33.189026,5.7642746,1.5502750755485344e-241,7.565624236872401e-239
RRAGD,32.998035,3.1279986,8.66731947937014e-239,4.154277181174535e-236
EIF3E,32.947334,1.4592535,4.6193995919851687e-238,2.1752509552363847e-235
SIPA1L2,32.766888,3.1659334,1.745171685385506e-235,8.076233311626271e-233
RPL36A,32.72913,1.4204531,6.0167446389804945e-235,2.737210895845347e-232
RPRML,32.71906,3.4318116,8.3680211240265e-235,3.7434342498332555e-232
RPS4Y1,32.68939,1.846835,2.2101271972120515e-234,9.724921983666996e-232
RPS27,32.59828,1.3561095,4.337594203077061e-233,1.8778284839482482e-230
SETD7,32.31349,2.2032733,4.521836845315855e-229,1.9265178216686166e-226
BTF3,32.252014,1.2391672,3.2966787337890946e-228,1.382596154588017e-225
ATF4,32.144234,1.5531005,1.0632898822496178e-226,4.3907328814556905e-224
RPL19,32.051476,1.2241206,2.093865756686716e-225,8.515371329580022e-223
SNHG8,31.814816,1.5189528,4.03882950429388e-222,1.6180033242500302e-219
IMPDH2,31.774555,1.8059926,1.4545473756397097e-221,5.741397957286094e-219
NPTX1,31.474064,2.5984476,1.96723827429268e-217,7.652556886998527e-215
RPL39,31.407269,1.3241153,1.6101075086900925e-216,6.173842234392968e-214
EPHB6,31.199,2.386168,1.0992414109756271e-213,4.155597001689691e-211
RPL17,31.091,1.4541305,3.187341297968775e-212,1.1882142747052762e-209
IRF2BP2,30.71608,1.5413163,3.471831397948249e-207,1.276540089757931e-204
EYS,30.440216,2.0206203,1.6140814348242952e-203,5.854535107043095e-201
RPS26,30.439516,1.3730673,1.6488899365404225e-203,5.901047304890864e-201
