names,scores,logfoldchanges,pvals,pvals_adj
VIM,42.938286,5.338889,0.0,0.0
NKD1,41.838345,7.1610923,0.0,0.0
IFT57,41.814686,5.5641975,0.0,0.0
WIF1,41.415154,12.400854,0.0,0.0
TNC,40.640858,7.4672775,0.0,0.0
EPHA7,38.279747,7.1189647,0.0,0.0
SP5,37.629223,5.164001,7.1560948748421e-310,2.7439534647948156e-306
GAP43,37.621765,4.1553645,9.47484742663274e-310,3.178929747228117e-306
TRDN,37.42529,8.445347,1.5160100547432054e-306,4.521247319929153e-303
S100A6,37.316643,4.1309595,8.816748990831837e-305,2.3665035966291734e-301
TMSB4X,36.040184,2.861804,1.965028855755334e-284,4.7948490470299014e-281
SHOX2,36.02937,5.253755,2.902326232404939e-284,6.491778200331747e-281
APP,35.339863,3.114152,1.4350302401562495e-273,2.751260476859564e-270
SLC1A3,35.06738,4.6286564,2.1191443598045993e-269,3.79199691743435e-266
GAD1,35.02948,8.831796,8.007412907395053e-269,1.3432935615461912e-265
LAMP5,33.771873,9.8744135,5.105466026680901e-250,8.06093021306718e-247
TPH1,33.02797,5.271583,3.223067464840936e-239,4.806130767988642e-236
LINC02178,30.734924,13.110288,1.944699142991376e-207,2.7472457735279747e-204
AL118556.1,30.695639,10.253539,6.507810585305902e-207,8.733807196009784e-204
ZIC2,30.631512,3.1592553,4.659528178085085e-206,5.955542658475322e-203
ATP8A2,30.589994,4.812622,1.662858786667158e-205,2.028763304224236e-202
BMP4,30.563349,6.6921206,3.758864778445292e-205,4.386595196445655e-202
NRCAM,30.464827,3.1780617,7.622412573807721e-204,8.52471566223221e-201
PLCB1,30.408915,3.8049984,4.187469733510614e-203,4.495835004686336e-200
GSN,30.387417,3.3862982,8.055262186621612e-203,8.31581893658118e-200
GADD45A,30.375044,3.6809208,1.1735756164014772e-202,1.1666645599937795e-199
EMX2,30.364996,4.6331797,1.5928235197620327e-202,1.5268920033547402e-199
TENM3,30.25321,3.713832,4.7339131314550736e-201,4.381481460737436e-198
COL6A3,29.671139,8.501129,1.810486393261046e-193,1.619842176050658e-190
DSP,29.66971,3.4798717,1.8889153808556342e-193,1.6354960560498734e-190
CACNA1A,29.576607,2.9732485,2.9879815591498125e-192,2.5062629071606286e-189
C9orf3,29.33914,3.6406221,3.2874729010458555e-189,2.67391091324157e-186
RPS4X,29.324722,1.9297872,5.020519838620743e-189,3.963405087894687e-186
MGP,29.300503,3.4637253,1.0219677293214564e-188,7.837324520776347e-186
XIST,29.119732,3.119655,2.019936744265025e-186,1.5060311709115983e-183
NET1,28.597427,4.30816,7.232301861787519e-180,5.24654633168213e-177
BSG,28.577833,2.3142662,1.2671761472134468e-179,8.950598675620033e-177
MYO1B,28.066431,3.8100216,2.5176669037998912e-173,1.732735829869048e-170
CXADR,28.033846,2.61174,6.287044778181646e-173,4.218764222279339e-170
PATJ,27.89963,3.4463408,2.695796566175662e-171,1.7648262349444135e-168
CLU,27.825659,4.2930984,2.122871988705685e-170,1.3566668344964117e-167
