names,scores,logfoldchanges,pvals,pvals_adj
MAPT,22.377075,,6.5824006916029174e-111,1.676459599798997e-108
DCX,22.288078,,4.82244564476375e-110,1.2151536972539806e-107
MTSS1,20.981829,,9.612552833369998e-98,2.2768292641120178e-95
MYT1L,20.660418,,7.868163850837468e-95,1.8093721259314203e-92
TUBB2A,20.257603,,3.0442830837696716e-91,6.802536709638532e-89
GNAO1,20.011393,,4.382306421380511e-89,9.70087008381484e-87
CADM3,19.737938,,1.0185212229563073e-86,2.1931539715402816e-84
SPTAN1,19.690086,,2.622452620436523e-86,5.595983132221575e-84
MAP2,19.479145,,1.6501072125825607e-84,3.458799950197392e-82
CELF4,19.257875,,1.2125031682817211e-82,2.519241231922881e-80
DPP6,18.926716,,6.871440116682354e-80,1.3910848769550278e-77
EPB41L1,18.907204,,9.949419652208365e-80,1.9971352023915878e-77
MEG3,18.654636,,1.1578743410591138e-77,2.2665629456467907e-75
LRP1,18.546612,,8.685741999719558e-77,1.6726055691492476e-74
STXBP1,18.532528,,1.1285847840158453e-76,2.155778967274138e-74
CACNA2D1,17.773865,,1.1265378854495839e-70,2.101037508248728e-68
TRIM9,17.676273,,6.38810890954335e-70,1.172936028150727e-67
SEPT3,17.310387,,3.9276514476102026e-67,6.942563596126512e-65
SERINC1,17.25736,,9.851271311498648e-67,1.728423794697459e-64
RELN,17.102667,,1.4176657007131191e-65,2.4690316019919807e-63
NRXN1,17.085073,,1.9170374147956015e-65,3.314375781521797e-63
KIDINS220,16.9905,,9.656205304619673e-65,1.6573686872842142e-62
ATP6V1G2,16.913774,,3.5614860690918964e-64,6.0688747505403356e-62
RTN1,16.786186,,3.0801635197738125e-63,5.211196652097323e-61
RUSC2,16.762716,,4.5724137411889267e-63,7.681006515872406e-61
ERBB4,16.598179,,7.183840474715377e-62,1.1899052131755835e-59
CELF2,16.539188,,1.9158901567029506e-61,3.129639603563178e-59
PKIA,16.480234,,5.08875512242308e-61,8.255633823952952e-59
KIF1B,16.411911,,1.5717945605784955e-60,2.5326208137321256e-58
TMEM59L,16.329296,,6.108548410882406e-60,9.645805177344044e-58
GNG2,16.299938,,9.879248440018604e-60,1.5496680698694082e-57
FNBP1,16.132938,,1.4972614785685687e-58,2.317917345187916e-56
CHGB,16.10628,,2.304821619978911e-58,3.544935382520811e-56
ATP9A,16.10071,,2.521962535278931e-58,3.8538841684268878e-56
CLIP3,16.069908,,4.146943487682361e-58,6.296442528797718e-56
SV2B,15.91538,,4.956586482564547e-57,7.430487811773662e-55
MAPRE3,15.822048,,2.192420079980569e-56,3.225444845616134e-54
ASIC1,15.762232,,5.659799812946013e-56,8.224418304873575e-54
ST18,15.715488,,1.1846391020429056e-55,1.7109366933529428e-53
DYNC1I1,15.611621,,6.0675412139369294e-55,8.605735400797013e-53
BLCAP,15.545261,,1.713225007929609e-54,2.4011507418828827e-52
SPOCK2,15.50872,,3.028552524011521e-54,4.1949880165928e-52
LINC00461,15.490814,,4.001911284407541e-54,5.511004109446339e-52
TERF2IP,15.403165,,1.5585183541025776e-53,2.1215555020272213e-51
CEP170,15.398205,,1.6827690680420533e-53,2.277603894036804e-51
CD200,15.349074,,3.5927695360174397e-53,4.835132910801652e-51
NBEA,15.304168,,7.171372126434687e-53,9.596673456877513e-51
MAP1LC3A,15.2815695,,1.0146776381516155e-52,1.34266226465135e-50
SCN3B,15.172607,,5.370019024080347e-52,7.066348366909283e-50
C16orf45,15.154033,,7.125722117225016e-52,9.324853815944294e-50
ANKS1B,15.065914,,2.71384954445474e-51,3.512581437702457e-49
ENO2,14.973498,,1.0941137719503272e-50,1.3932891829255618e-48
AAK1,14.890169,,3.818023866985013e-50,4.8360274499148134e-48
MLLT11,14.8505945,,6.895481258316345e-50,8.687572823642603e-48
SH3BP5,14.838221,,8.292675710400603e-50,1.0392609358547549e-47
PTCHD2,14.818053,,1.119823214881872e-49,1.3960069825101064e-47
LINGO2,14.804371,,1.3726458088247893e-49,1.6933587826991646e-47
RALGPS1,14.797605,,1.5179329925036606e-49,1.8628891637534563e-47
IDS,14.775267,,2.115196095904886e-49,2.582501790082635e-47
ATP6V0A1,14.730292,,4.1191824748105126e-49,5.003433646069837e-47
KIF3C,14.667205,,1.0456489564730628e-48,1.2572203646203536e-46
GRIA2,14.630515,,1.7942430435301303e-48,2.135600036635913e-46
KLF12,14.574327,,4.0913146440585275e-48,4.797370230651995e-46
DPYSL3,14.553967,,5.511179911804699e-48,6.4304338616259154e-46
DCLK1,14.532105,,7.585288479617619e-48,8.807114849422692e-46
TMOD2,14.468259,,1.9227830083526888e-47,2.21082710368164e-45
