names,scores,logfoldchanges,pvals,pvals_adj
KIAA0101,22.10498,,2.830581687400544e-108,6.704515784776928e-104
UHRF1,21.104836,,7.1803785615369495e-99,8.503722330428208e-95
CLSPN,20.67523,,5.788968917340123e-95,4.570583925870605e-91
DTL,20.235165,,4.800294860675399e-91,2.8424946017489374e-87
MCM2,19.938614,,1.8820639527253413e-88,8.915713356850487e-85
PCNA,19.417492,,5.490725624750431e-84,2.1675554524639782e-80
MCM4,18.776217,,1.182086780648957e-78,3.9998439266358847e-75
TYMS,18.16607,,9.582025900963057e-74,2.836998318627637e-70
BRCA1,17.53261,,8.077581228957239e-69,2.1258398776564573e-65
MLF1IP,17.379116,,1.1876832078116977e-67,2.8131464460227873e-64
MCM7,16.906694,,4.016139689651617e-64,8.647844062644382e-61
WDR76,16.800303,,2.4279951674049467e-63,4.7924577945961303e-60
MCM3,16.236786,,2.7706893301873433e-59,5.04819595960134e-56
TK1,16.056768,,5.125701131128394e-58,8.671954070850509e-55
DNMT1,16.019604,,9.324260110337344e-58,1.4723628331563354e-54
HELLS,15.915732,,4.928707302706479e-57,7.296335073244104e-54
GINS2,15.910604,,5.349509702959866e-57,7.453440401429846e-54
KNTC1,15.784748,,3.9622834691524078e-56,5.213924791685774e-53
MCM5,15.6961975,,1.6058333126371358e-55,2.001882518059116e-52
DEK,15.668318,,2.4908532136392284e-55,2.949917460912938e-52
MCM6,15.634503,,4.2376280778010245e-55,4.779640888133098e-52
ZWINT,15.443488,,8.346125252017709e-54,8.985741941785975e-51
GMNN,15.295572,,8.183874394401745e-53,8.427967343730422e-50
UBE2T,15.210091,,3.0312254226146506e-52,2.991566890002109e-49
HMGB2,15.061663,,2.894160984424518e-51,2.6365806568107358e-48
FANCA,15.027491,,4.850346344667759e-51,4.2550112414740944e-48
DHFR,14.957599,,1.389489926674103e-50,1.1754092286858144e-47
FANCD2,14.79619,,1.5501771960090143e-49,1.2661205884368798e-46
TIMELESS,14.4761095,,1.7153611798259542e-47,1.354334830178585e-44
ORC6,14.421821,,3.7726023219362024e-47,2.882511567657448e-44
ATAD2,14.092671,,4.213147703211821e-45,3.118519265571099e-42
TUBA1B,14.062758,,6.432894699427603e-45,4.6172589045649155e-42
PKMYT1,14.032615,,9.845311757576036e-45,6.858707479116058e-42
BRIP1,13.942376,,3.5008629768384455e-44,2.369184013411298e-41
ATAD5,13.875043,,8.97395128255723e-44,5.904361391073626e-41
CDC6,13.826151,,1.7725495436676438e-43,1.1347191484138328e-40
TMPO,13.743023,,5.6084382162569434e-43,3.406191476673384e-40
PTCHD2,13.650329,,2.0096997095200516e-42,1.1900436829922984e-39
NASP,13.64639,,2.1213052997570695e-42,1.2254935934157549e-39
POLE,13.502463,,1.5123380216464795e-41,8.528866281123455e-39
DUT,13.272365,,3.3484355983741717e-40,1.7624676796242362e-37
LIG1,13.197831,,9.029749478423768e-40,4.46792303521615e-37
CSRP2,13.197626,,9.054306581540792e-40,4.46792303521615e-37
TOP2A,13.153582,,1.6230073752791923e-39,7.845418916502642e-37
EOMES,13.143376,,1.857508043294558e-39,8.79938710269498e-37
EZH2,13.105674,,3.055347520376453e-39,1.4189992425026798e-36
PSMC3IP,13.059634,,5.5996233246114e-39,2.5506284243604926e-36
RRM2,12.902049,,4.382857032559905e-38,1.9224509569113688e-35
RNASEH2A,12.733696,,3.842127760143457e-37,1.6546297841228714e-34
RAD51AP1,12.706353,,5.451822838766513e-37,2.265471504544274e-34
GJC1,12.654686,,1.0539632798063831e-36,4.2312159738125405e-34
PIN4P1,12.562836,,3.3799746206619116e-36,1.3343013144166338e-33
CDK2,12.543,,4.3423849661827486e-36,1.6861267263771243e-33
H2AFZ,12.50017,,7.449169269557766e-36,2.8137475092033874e-33
DNAJC9,12.438042,,1.6243789641436547e-35,6.011725022610407e-33
DPYSL5,12.397539,,2.694729513768093e-35,9.670812615622886e-33
DSN1,12.390889,,2.9278023528004146e-35,1.0350436795288152e-32
MMS22L,12.362101,,4.1905895221444367e-35,1.4596809326693105e-32
MCM10,12.2963915,,9.471158329915967e-35,3.1157480028109666e-32
SKA2,12.29345,,9.822270435492205e-35,3.1869903771927177e-32
POU2F1,12.182775,,3.839916388741361e-34,1.19674025768063e-31
FEN1,12.177288,,4.107112578159639e-34,1.2633905003414185e-31
UNG,12.091411,,1.172558416431664e-33,3.5606690578974868e-31
C12orf5,11.970198,,5.090739011998439e-33,1.4704785882706711e-30
POLA2,11.871288,,1.668786932582616e-32,4.762275576524318e-30
NCAPH2,11.860008,,1.9095679257733974e-32,5.3845268916510345e-30
CKB,11.820746,,3.049641002363237e-32,8.399278695578563e-30
FANCI,11.666268,,1.8955610763503896e-31,4.988695517159481e-29
H2AFY,11.640768,,2.5570381629492455e-31,6.65560504699075e-29
SNCAIP,11.626789,,3.0121506265658192e-31,7.617310976414714e-29
AP5M1,11.626482,,3.0229976854808035e-31,7.617310976414714e-29
ASRGL1,11.540528,,8.24176902320692e-31,2.0125210420997847e-28
RRM1,11.519107,,1.0570120921308769e-30,2.528928122647672e-28
TMSB15A,11.496304,,1.3768590860770148e-30,3.2289390408732847e-28
XRCC2,11.472338,,1.8168413275095504e-30,4.218990557195216e-28
STRA13,11.416284,,3.4674615201825965e-30,7.973814909421843e-28
CDC45,11.348131,,7.57643835358908e-30,1.692976592859537e-27
SYNE2,11.318563,,1.06197684371278e-29,2.3077049101083402e-27
CENPM,11.31263,,1.1363212277566281e-29,2.4468095091494086e-27
MTSS1,11.306273,,1.2216880170944744e-29,2.6069281417026774e-27
CASP2,11.265886,,1.9339671333858384e-29,4.089995135837229e-27
SPAG5,11.14709,,7.398672362844906e-29,1.4726466687928104e-26
CDH18,11.091804,,1.374878554575095e-28,2.713781120305475e-26
CHEK1,11.001884,,3.7422867654338067e-28,7.325603663311168e-26
CBX5,10.906428,,1.0739374104206691e-27,2.0513936696148362e-25
RFC3,10.903167,,1.1131439387075786e-27,2.1092741865782164e-25
CENPK,10.880325,,1.4305085299268392e-27,2.6265910883602413e-25
HIRIP3,10.783974,,4.09790416924409e-27,7.297966778399663e-25
RFC4,10.763934,,5.0947854076320355e-27,9.005603519788984e-25
SEZ6,10.747104,,6.1151793662406294e-27,1.0650304299174673e-24
DDX11,10.722766,,7.958678196489745e-27,1.3561816673529217e-24
POLD1,10.658822,,1.5859398928143537e-26,2.664154063914949e-24
PRKDC,10.630175,,2.1570850105201303e-26,3.59807856050562e-24
DDX12P,10.538017,,5.770241689919932e-26,9.425789287409898e-24
SMC3,10.526521,,6.520028431183162e-26,1.0577629686370163e-23
EXO1,10.519883,,6.99605054227402e-26,1.1272683887367514e-23
RFC5,10.498935,,8.736050579840054e-26,1.3887388861348423e-23
DGKB,10.437446,,1.6725078440575958e-25,2.6062513680492244e-23
HMGN2,10.395114,,2.6097419857550104e-25,3.9880224951350435e-23
BRCA2,10.257288,,1.0974563532959745e-24,1.65569115822729e-22
ZBTB18,10.205505,,1.8734270864204933e-24,2.80848063094657e-22
RBBP4,10.164863,,2.845232181600725e-24,4.238501223483947e-22
RBL1,10.141817,,3.603344755760078e-24,5.334301492808325e-22
ZNF519,10.117467,,4.622239992041252e-24,6.800147605682553e-22
WHSC1,10.088871,,6.1877240994158426e-24,8.99156030789961e-22
NRN1,10.032677,,1.0950748322973576e-23,1.5719965138057706e-21
POLQ,10.002597,,1.4845239601799536e-23,2.105535001246849e-21
CBX1,9.961288,,2.251258552967175e-23,3.1740065527131253e-21
CIT,9.956812,,2.3549232833721336e-23,3.3005155556184825e-21
C4orf21,9.9368105,,2.8789772539079475e-23,3.987804399769804e-21
RALYL,9.875986,,5.2909803051998014e-23,7.2024229602852e-21
SPECC1,9.833386,,8.08532040772318e-23,1.0881187453257457e-20
RFC2,9.80424,,1.0795598354844804e-22,1.4285169979489052e-20
CNP,9.800838,,1.1165464049054311e-22,1.4620589412861154e-20
CASP8AP2,9.773292,,1.4661011773642232e-22,1.9080259608268676e-20
DRAXIN,9.758175,,1.7019035663272414e-22,2.190830862610165e-20
NCAPG2,9.713196,,2.6489740194027588e-22,3.373311753955578e-20
ASF1B,9.705459,,2.8578716218072454e-22,3.6198688360495407e-20
TUBB,9.703004,,2.927513866185485e-22,3.688356033748372e-20
CHAF1A,9.688296,,3.3812185836940847e-22,4.2374361573215914e-20
CHAF1B,9.637525,,5.551059897852409e-22,6.848041913569383e-20
WDR34,9.607547,,7.429786991620316e-22,9.071233746573134e-20
FAM111B,9.587097,,9.05977472491503e-22,1.0948460415017212e-19
INPP5F,9.519048,,1.7477327182094926e-21,2.1013602621071087e-19
SPTAN1,9.492971,,2.2454127872125804e-21,2.6861033978746054e-19
SRSF7,9.477663,,2.6004217748726242e-21,3.0951552844036673e-19
SLC6A3,9.474338,,2.684584494008218e-21,3.179353416253933e-19
MAD2L1,9.4583645,,3.1279788306264143e-21,3.6860351533441415e-19
DACH1,9.439782,,3.735558561232885e-21,4.380219806008026e-19
WDHD1,9.39809,,5.556243525756329e-21,6.388601172381768e-19
IPO9,9.3772955,,6.768670919719879e-21,7.745059874612805e-19
EBF1,9.375173,,6.906283581244816e-21,7.864530428142534e-19
SMC1A,9.34187,,9.464745341037932e-21,1.0726409480757152e-18
SLBP,9.341103,,9.533598934394286e-21,1.0752991636193478e-18
KIF18B,9.335642,,1.0038121390222122e-20,1.12437038466397e-18
DLGAP1,9.335373,,1.0063603881987742e-20,1.12437038466397e-18
