names,scores,logfoldchanges,pvals,pvals_adj
DYNC1I1,44.66768,1.7665012,0.0,0.0
AL161757.4,37.05343,0.54107153,1.5814115616952025e-300,2.894062228480305e-296
UNC5C,36.539062,1.2895787,2.6601861505007463e-292,3.2455157764825935e-288
AUTS2,36.255848,0.5637613,8.037743293906818e-288,7.354736057507086e-284
C1orf21,35.28192,1.1664028,1.1121059285424254e-272,8.140837818116263e-269
PEX5L,35.215664,1.1821572,1.1513847849456655e-271,7.023639085632716e-268
DPP10,34.00277,0.6678632,2.0273837323280297e-253,1.0600610283848316e-249
LSAMP,33.509075,0.8694388,3.5552059190783734e-246,1.6265511480523444e-242
KCNH1,33.102734,1.4855745,2.7144656578482055e-240,1.1039128615878019e-236
CDK14,33.036896,1.1112319,2.3993720114720963e-239,8.78194149918902e-236
ST6GALNAC5,32.29216,1.4953083,9.012618352472312e-229,2.998825857443992e-225
FOXN3,31.992603,1.0296296,1.3819141638493272e-224,4.214953359254102e-221
SLC35F4,31.686617,0.4739116,2.3755359611146604e-220,6.6882301317505915e-217
GAS7,31.251015,1.165129,2.1627755648740375e-214,5.654267746425332e-211
KIF18B,31.18808,1.2571067,1.5458662772246192e-213,3.7720167741798856e-210
THSD4,30.796148,1.0382802,2.950924943716071e-208,6.750425241559495e-205
PCBP3,30.581158,1.0959324,2.1795294575524484e-205,4.692526922110422e-202
PDE4B,28.97975,0.8517214,1.1842484306455736e-184,2.4080376005588132e-181
CADM2,28.872683,1.3326541,2.630841022819465e-183,5.067969067169223e-180
OTX2-AS1,28.79469,0.37794152,2.4998772357049305e-182,4.574900335201809e-179
ARHGAP11B,28.59534,1.309173,7.677787993355938e-180,1.338165325451527e-176
LIMD1,28.380322,1.3404388,3.5378311691916577e-177,5.885825391981085e-174
RALGPS2,28.306755,0.57470095,2.853822240421435e-176,4.5414238183332584e-173
POU6F2-AS2,28.083687,1.0173837,1.5499698663217686e-173,2.3637686282184605e-170
ITGA8,27.800388,1.7012149,4.291087711928505e-170,6.2823240537718085e-167
AC092939.1,27.727137,1.2305365,3.288107462066792e-169,4.6287700468887176e-166
POU6F2,27.611391,0.79184943,8.121306626274277e-168,1.1009183104750547e-164
AJ011931.2,26.042448,1.2477534,1.6382870305690828e-149,2.14153370020925e-146
NLGN1,25.910261,1.1069025,5.103114388048851e-148,6.44065826610262e-145
DIAPH3,25.676575,0.93377113,2.135492333467945e-145,2.605371829908675e-142
AC023590.1,25.571411,1.0320263,3.173785102425596e-144,3.747216404318685e-141
PEX5L-AS2,25.349743,1.2899488,9.04525584226876e-142,1.0345794033839966e-138
LINC01572,25.308939,0.9887207,2.5467288848128462e-141,2.824631027667727e-138
KCNIP4,24.948162,0.4032005,2.235698929345478e-137,2.406729897440407e-134
CHRM3,24.657536,1.1690068,3.055311430603582e-134,3.1950701049006203e-131
ANGPTL1,24.520887,0.7994177,8.845381107383526e-133,8.993049830870679e-130
APBB2,24.493923,0.5908649,1.714657049310432e-132,1.6961665584273277e-129
NRP2,24.369394,0.8426733,3.6116065442024594e-131,3.4786423980093213e-128
ASPM,24.199137,0.9574389,2.2717573615603353e-129,2.1320151587299956e-126
PDLIM5,23.721333,0.7124645,2.172382007133238e-124,1.9877838460770914e-121
TOP2A,23.03884,0.94000566,1.9032060954426888e-117,1.6990060072999477e-114
SAMD12,22.60841,0.8732134,3.5821814711623857e-113,3.0491028843259184e-110
AC004158.1,22.549404,1.11048,1.3610254129506738e-112,1.1321566168047185e-109
FLT1,22.528467,0.8544965,2.1838256629239014e-112,1.776226735303949e-109
TLL2,22.383688,1.8293025,5.675231631780222e-111,4.515633759886694e-108
SIPA1L2,22.199835,1.1869017,3.447132745310995e-109,2.6844362895984623e-106
CIT,22.02613,1.1574731,1.6182309581848117e-107,1.233934818760881e-104
AC010894.3,21.69415,1.1277027,2.329843927860345e-104,1.740298318441153e-101
AC096576.3,21.624994,0.7454394,1.0452903925449865e-103,7.65173473150781e-101
AC096576.2,21.56788,0.68290275,3.5980120760127124e-103,2.5821733332184563e-100
DLGAP5,21.300827,1.1144221,1.1153271164079723e-100,7.850401497624653e-98
DAB1,21.177633,1.3810037,1.5355819495229021e-99,1.0408117580460691e-96
EGFLAM,21.082132,0.84394926,1.160383673682199e-98,7.722036880080394e-96
