names,scores,logfoldchanges,pvals,pvals_adj
TNC,46.055508,,0.0,0.0
NKD1,43.48586,,0.0,0.0
CLU,43.001904,,0.0,0.0
VIM,42.968716,,0.0,0.0
EPHA7,42.801537,,0.0,0.0
WIF1,42.66704,,0.0,0.0
ADAMTSL1,42.649937,,0.0,0.0
GAD1,42.34522,,0.0,0.0
COL5A1,42.01769,,0.0,0.0
GSN,41.60747,,0.0,0.0
EPHA3,41.287945,,0.0,0.0
SLC1A3,40.868202,,0.0,0.0
SPARC,40.254486,,0.0,0.0
TNFRSF19,40.19718,,0.0,0.0
IFT57,39.753624,,0.0,0.0
ZMAT4,39.50126,,0.0,0.0
MMP2,39.10526,,0.0,0.0
SHOX2,38.78095,,0.0,0.0
COL6A3,38.7045,,0.0,0.0
TMEM132C,38.54832,,0.0,0.0
DKK2,38.26366,,0.0,0.0
EMX2,37.74021,,0.0,0.0
CRABP2,37.50793,,6.840015101494243e-308,6.75052490391636e-305
VSTM2A,37.394917,,4.7261924947397125e-306,4.4777838172161935e-303
TRPM3,36.923965,,1.9066264162688025e-298,1.736936665220879e-295
ZFP36L1,36.76922,,5.733299704276542e-296,5.02959025168497e-293
AXIN2,36.66804,,2.3606005169864382e-294,1.9968994230478847e-291
CLDN11,36.43082,,1.384590092221442e-290,1.1308758939433475e-287
ASB13,36.249767,,1.00212524777711e-287,7.912112872949543e-285
PAX3,36.19928,,6.248478560043254e-287,4.774240747522081e-284
PMP22,36.194798,,7.350535251262076e-287,5.440774311293547e-284
TMEM2,36.165623,,2.1137874088570947e-286,1.517186926248156e-283
AHNAK,35.999474,,8.52499592866718e-284,5.938913340188553e-281
RUNX2,35.937794,,7.852076596488263e-283,5.313836750412028e-280
FAM179A,35.637844,,3.6352546396812444e-278,2.3917955943191653e-275
COL1A2,35.42859,,6.198757284899682e-275,3.863783290792996e-272
ASIC2,35.044987,,4.6488442573134535e-269,2.8233980789417042e-266
FZD10,34.589046,,3.6918159371129786e-262,2.1861088071614503e-259
ADAM19,34.56009,,1.0055073571139181e-261,5.808889575756161e-259
RMST,34.49623,,9.136446545182394e-261,5.152520782599766e-258
RTTN,34.247074,,4.821788468414869e-257,2.656020503787781e-254
C9orf3,34.151817,,1.2565882797225288e-255,6.764443180342685e-253
