names,scores,logfoldchanges,pvals,pvals_adj
AUTS2,47.16115,2.2779918,0.0,0.0
AL137017.1,46.832947,3.154477,0.0,0.0
CHRM3,41.380066,1.9285978,0.0,0.0
AL161757.4,40.431694,2.41818,0.0,0.0
EYS,40.174942,2.0750525,0.0,0.0
SYT1,39.869305,1.9098058,0.0,0.0
OTX2-AS1,39.58468,2.048086,0.0,0.0
DACH1,39.575653,2.0320942,0.0,0.0
CHRM3-AS2,39.394344,2.6427872,0.0,0.0
NFIB,38.9333,1.6255935,0.0,0.0
ZFPM2-AS1,38.812992,2.6315346,0.0,0.0
LINC00907,38.59706,3.2458696,0.0,0.0
LINC01483,38.104935,2.842265,0.0,0.0
MSI2,36.863506,1.8446739,1.7769976732304098e-297,4.645706559850445e-294
LINC00879,36.8373,2.2922173,4.670967104313702e-297,1.1397471132332387e-293
RNF150,36.0425,2.5113108,1.8077608813166688e-284,4.1353660010669624e-281
AC027288.3,35.40879,2.456929,1.2505373831651327e-274,2.692406985954531e-271
KCNB2,35.289677,2.4512165,8.455846102275408e-273,1.7194023510521235e-269
EBF1,35.197098,2.1145546,2.2146947940712595e-271,4.2663181135685356e-268
XACT,35.028076,2.6333864,8.41133780188373e-269,1.5393168744337323e-265
NFIA-AS2,34.56966,2.5876877,7.220694993361113e-262,1.1490637280522178e-258
ZFPM2,34.531403,1.7418604,2.7108635117202393e-261,4.134179808019686e-258
AL136366.1,34.473927,2.184077,1.972735393406373e-260,2.8881635253626667e-257
FTX,34.25712,1.900077,3.417082681044705e-257,4.4667372574613304e-254
LINC01876,34.09372,2.1344619,9.139861006460221e-255,1.1535450093015538e-251
FILIP1L,34.048748,2.3792772,4.235511199200331e-254,5.167464846731044e-251
SLC39A11,33.920094,2.171741,3.3682306463566825e-252,3.976793867332288e-249
SETBP1,33.35387,2.2565694,6.40146353297239e-244,7.099998993040074e-241
FYN,33.15326,2.1083903,5.0830547155494274e-241,5.4719084012889584e-238
MCC,33.029194,1.9875491,3.095267032720922e-239,3.2368533904176705e-236
CACNA2D1,32.88814,1.9034518,3.2473856239821425e-237,3.3015989228714e-234
DAB1,32.781303,2.226205,1.0875799942236206e-235,1.047539878120493e-232
AC090709.1,32.73019,2.2021797,5.811404331760119e-235,5.453928460173131e-232
NFIA,32.497772,1.8626871,1.1464810582529873e-231,1.0490588303279398e-228
LRCH1,32.40751,2.0134964,2.151444030123189e-230,1.8748810225366388e-227
AL023755.1,32.263924,2.1152058,2.2439906611107004e-228,1.866643231529835e-225
SRRM4,31.93321,2.8671453,9.2415144145555e-224,7.516637090825463e-221
AC084361.1,31.386255,3.162183,3.1164062304600537e-216,2.2365408713934984e-213
TTC28,31.11264,1.8813839,1.6248202118911137e-212,1.1436547033735896e-209
SSBP3,31.043114,1.9195123,1.4130756730304353e-211,9.758487303506974e-209
AC007529.2,30.93092,2.748667,4.5875984658486615e-210,2.94580160436012e-207
GPC6,30.883244,1.8380414,2.0054374406396632e-209,1.2655347545664193e-206
IGSF11,30.60003,1.945993,1.222775421887615e-205,7.585559867204847e-203
MGST1,30.53985,1.706314,7.712161309117637e-205,4.627423214344502e-202
MIR99AHG,30.352587,1.2777007,2.322608321874406e-202,1.34936170141151e-199
KALRN,30.159475,2.249301,8.057893586522427e-200,4.537337894773959e-197
KCNIP4,29.740393,2.0395446,2.3084554940110807e-194,1.2610713363626801e-191
NEDD4L,29.597166,2.152252,1.62520639320682e-192,8.620895535907655e-190
AC079160.1,29.43192,3.76964,2.1451935540793784e-190,1.1216604181837048e-187
TRIO,29.317244,1.709315,6.253204448314461e-189,3.1787991112882998e-186
IMMP2L,29.13668,1.7561365,1.2321667766838875e-186,6.013138159120929e-184
SLC44A5,28.962158,2.1562638,1.9726326408902037e-184,9.376665881717188e-182
AP003086.1,28.95823,2.0049095,2.210639295203196e-184,1.0373283185093868e-181
BICD1,28.722254,1.7413108,2.0123624612878333e-181,8.982253468975121e-179
LRBA,28.494938,1.5792967,1.3534373655025394e-178,5.760135001716099e-176
AC002454.1,28.065933,2.026631,2.5530689956785363e-173,1.015705199030762e-170
FHIT,27.987429,1.8068213,2.311133042360773e-172,9.095675320800715e-170
MAGI1,27.823118,1.7235435,2.278642053848954e-170,8.77900819083427e-168
TFDP2,27.80904,1.7811085,3.3726186392970496e-170,1.2858459876761595e-167
AGAP1,27.808062,1.7566507,3.465630046287455e-170,1.3076858280841973e-167
RNF130,27.78754,1.7967168,6.1355093393813966e-170,2.291487523782638e-167
