names,scores,logfoldchanges,pvals,pvals_adj
BOC,33.929203,,2.472242021475636e-252,5.855752452067191e-248
MGP,32.40492,,2.339900058107951e-230,2.771143638817246e-226
PDLIM3,31.60215,,3.449277381990228e-219,2.7233194689940177e-215
RPL13,28.905293,,1.0243646628515782e-183,4.852620280860496e-180
RPL10A,28.573103,,1.450859912288253e-179,5.72751131374326e-176
GAB1,28.53141,,4.7781079498155724e-179,1.616775212847595e-175
ALDH1A3,28.407288,,1.6435903283470021e-177,4.866260064653386e-174
RPS3A,27.94381,,7.839118148488684e-172,2.0630816940566996e-168
RPL4,27.900532,,2.628753486732623e-171,6.22646550867489e-168
RPL5,27.773603,,9.041206840973078e-170,1.9468184112298938e-166
RPS6,27.72727,,3.2760336451446514e-169,6.466344409908017e-166
TPT1,27.147991,,2.6740879770378153e-162,4.872188294162899e-159
EEF1A1,26.693314,,5.627930855237666e-157,9.521655016939953e-154
RPL9,26.690416,,6.08118648775981e-157,9.602598876605256e-154
HNRNPA1,26.670296,,1.0409936818455377e-156,1.5410610217620878e-153
SFRP1,26.665672,,1.1777962777843783e-156,1.6410166256235754e-153
RPS13,26.632896,,2.824532875997211e-156,3.716771427826107e-153
GNB2L1,26.530174,,4.349739017218684e-155,5.422522019044303e-152
RPL18A,26.348095,,5.396904495510698e-153,6.39155399403332e-150
PCNT,26.257633,,5.847821073647134e-152,6.595785235733619e-149
RPL7,26.252506,,6.691739568492373e-152,7.204570155423198e-149
RPS27A,26.040987,,1.7019057456094934e-149,1.7526669343698462e-146
RPL17,25.801281,,8.578493895449619e-147,8.127608256304787e-144
RPL21,25.773144,,1.7741591172231766e-146,1.6162589557903138e-143
RPL10,25.74083,,4.083252609278475e-146,3.572269116804115e-143
RPS5,25.739525,,4.222896870324885e-146,3.572269116804115e-143
RPS8,25.668242,,2.6457262295057522e-145,2.1609197059335603e-142
RPL13A,25.602573,,1.4281180002813918e-144,1.1275467651555015e-141
RPS11,25.57708,,2.744930368746797e-144,2.0973038940044077e-141
NACA,25.484835,,2.9033739613340107e-143,2.149041114004918e-140
ANGPTL2,25.479303,,3.343591174374324e-143,2.353473633690185e-140
RPS4X,25.478899,,3.3782869013538076e-143,2.353473633690185e-140
RPL26,25.465746,,4.725119447585537e-143,3.197690835300315e-140
PRLR,25.449474,,7.154873821891572e-143,4.707509481814549e-140
RPS14,25.380445,,4.146574719270235e-142,2.6544802378549944e-139
NRIP2,25.373972,,4.8880681607719215e-142,3.0468100646327297e-139
RPS25,25.362751,,6.500444708777311e-142,3.947936753130754e-139
RPL6,25.252335,,1.0676073318049283e-140,6.321836815282882e-138
RPS19,25.247232,,1.2146451408035883e-140,7.017093854896047e-138
MTRNR2L3,25.236485,,1.5939431935272983e-140,8.989080590925615e-138
MTRNR2L10,25.14134,,1.7575741206426183e-139,9.681372237567688e-137
RPLP2,25.077158,,8.829151939286784e-139,4.680154202539044e-136
MTRNR2L8,25.076878,,8.891621173446634e-139,4.680154202539044e-136
CSNK1E,25.034986,,2.5441959275352188e-138,1.3100396682521563e-135
SEMA6A,24.963356,,1.5292308643593522e-137,7.70667281983311e-135
HHIP,24.859941,,2.0189243372210918e-136,9.962550385712245e-134
MTRNR2L1,24.846287,,2.8362837188434444e-136,1.3710248196842004e-133
RPS3,24.841827,,3.1690600669424303e-136,1.5012471349119683e-133
LDHB,24.832367,,4.0100730193051295e-136,1.8624037163776727e-133
RPS12,24.79258,,1.0778949833643276e-135,4.909811649224512e-133
MTRNR2L6,24.748964,,3.1809680132235827e-135,1.421592610588939e-132
RPL35A,24.697124,,1.148351553023834e-134,5.037010163874543e-132
MTRNR2L2,24.659996,,2.8750781001529097e-134,1.2381654523676693e-131
PTPRK,24.59749,,1.343775710945561e-133,5.683691337402956e-131
EEF1G,24.525803,,7.839313788208058e-133,3.257578708552562e-130
IGFBPL1,24.50087,,1.445966643546848e-132,5.90502860673287e-130
RPS15,24.487642,,2.0002700641851103e-132,8.030236735642122e-130
VSTM4,24.377853,,2.937689667052814e-131,1.1597019575635492e-128
RPS7,24.349255,,5.903622241065518e-131,2.2923474819979976e-128
FTL,24.34534,,6.494828807210797e-131,2.481234114961209e-128
RPL39,24.331257,,9.155766492188688e-131,3.4422775418092263e-128
NTRK3,24.311476,,1.4824894743494198e-130,5.486600888975055e-128
RPL11,24.115576,,1.7160718847507605e-128,6.253365948031771e-126
RPLP0,24.0667,,5.581929918349976e-128,2.003236243121781e-125
RPS23,24.05467,,7.459292412094784e-128,2.637026866759359e-125
SERPINF1,23.911617,,2.3188875448096498e-126,8.077230939170789e-124
RPS15A,23.853132,,9.396244972171456e-126,3.2254993972587406e-123
RPS18,23.834011,,1.4835497794173293e-125,5.0199085821826944e-123
SLC25A6,23.813684,,2.4097938690375505e-125,8.039208110144144e-123
RPS27,23.578354,,6.428016585553789e-123,2.1146389006309313e-120
RPS16,23.339258,,1.771733327635655e-120,5.7486678901887845e-118
BTF3,23.251299,,1.3801448681545537e-119,4.417582614474157e-117
NPM1,23.245403,,1.583260033749315e-119,5.00014628791817e-117
ZFP36L1,23.222857,,2.6759903591012584e-119,8.339935216535843e-117
PABPC1,23.212677,,3.390938276138877e-119,1.0430878442678629e-116
NAP1L1,23.127779,,2.4333172918707096e-118,7.389173509647389e-116
RPL31,22.959852,,1.1747452931139718e-116,3.4351872855182145e-114
RPS2,22.87885,,7.546194321960655e-116,2.1797458379263424e-113
RPS24,22.862555,,1.0962578202408252e-115,3.1284292446053236e-113
RPL30,22.790941,,5.639075934998205e-115,1.5900851499567556e-112
RPL3,22.777054,,7.742476465975271e-115,2.157509383212827e-112
RPS10,22.7277,,2.3850836023012842e-114,6.568963977221886e-112
RPS9,22.70867,,3.678115076299829e-114,1.0013773988188247e-111
RPL23A,22.675802,,7.765393032512696e-114,2.090126129182906e-111
LRRC16A,22.64187,,1.6777475829339522e-113,4.465070702176808e-111
RPL19,22.638783,,1.7994769291887672e-113,4.735823393862794e-111
MICAL1,22.616837,,2.9594996760611496e-113,7.703154871119163e-111
TCF4,22.514017,,3.0257890189075703e-112,7.70632674213384e-110
RPL15,22.49539,,4.605085717791967e-112,1.1603836203363888e-109
RPL28,22.475899,,7.14438883882908e-112,1.7812841477526903e-109
RPL24,22.391752,,4.7359798716131376e-111,1.1685043670732165e-108
RPL22,22.272873,,6.771668093181852e-110,1.6535436129392304e-107
RPL18,22.266888,,7.739326384249492e-110,1.8705478034421782e-107
FAM198B,22.17745,,5.670295269344802e-109,1.356632462118192e-106
PTCH2,22.049927,,9.567808487818854e-108,2.266231118424774e-105
CLDN1,21.950466,,8.571789636272854e-107,2.0102119735124637e-104
RPL7A,21.935696,,1.1860908879610964e-106,2.7542890953182872e-104
RPL41,21.908863,,2.1384995734935854e-106,4.917718533763987e-104
NDST3,21.87981,,4.0451694457009274e-106,9.212873412583862e-104
RPLP1,21.872984,,4.698301226098758e-106,1.059847265155954e-103
RPL27A,21.861391,,6.056926218539191e-106,1.3534373057765968e-103
UGDH-AS1,21.857841,,6.546745725341857e-106,1.4492170023406284e-103
RPL14,21.80408,,2.1223901350878918e-105,4.654715994415908e-103
RPSA,21.699978,,2.0526319698550403e-104,4.460425764952889e-102
RPS28,21.5276,,8.586790908528423e-103,1.8489702678127656e-100
