names,scores,logfoldchanges,pvals,pvals_adj
H3F3B,32.5683,3.2056177,1.1533472866022952e-232,4.2213664036930606e-228
MFSD4B,29.776684,1.7262402,7.830367652440858e-195,1.4329964322349393e-190
PPM1D,28.808062,2.817658,1.70003409613569e-182,2.074098265088746e-178
REV3L,27.119688,1.5490277,5.769941340227796e-162,4.2237124598735514e-158
AC004949.1,26.934244,5.6103835,8.726054578496458e-160,5.323038727125814e-156
TIGAR,25.564621,2.7468817,3.776586703341779e-144,1.7278356241126557e-140
BRD2,24.508284,2.8564768,1.2053895983070607e-132,4.411846468763673e-129
ARID4B,24.254295,1.8825728,5.956929766603687e-130,1.816913219895513e-126
NFAT5,22.56924,2.480934,8.692676113785864e-113,2.1210709229378425e-109
MDM2,22.44485,1.8332455,1.4368500507386518e-111,3.2868842941928372e-108
HELZ,22.313892,1.6054907,2.7087196959644126e-110,5.83187350541138e-107
CHD2,21.744678,1.6848243,7.757496058935565e-105,1.4943795434373718e-101
RPL41,21.571672,1.2972852,3.3149321680206776e-103,6.066491614086242e-100
TANC1,21.478354,1.4107705,2.4814580327573657e-102,4.324945021759635e-99
YBX3,20.88752,1.6882918,6.953791445806979e-97,1.0604821696165885e-93
KIF5B,20.817158,1.6743653,3.0261310034151467e-96,4.430376834239911e-93
EIF4G2,20.254917,1.8477175,3.214954909973179e-91,4.3581690614788266e-88
TUBB4B,20.130203,2.011818,4.013427549253984e-90,5.246266490365894e-87
MBD5,20.030962,1.3139464,2.9588346470231438e-89,3.734355410886003e-86
ARID4A,19.869083,2.0133028,7.536598507064749e-88,9.194901398569228e-85
KDM5A,19.477001,1.985181,1.7206890833878816e-84,2.031578746486447e-81
CDC42EP3,19.452597,2.064787,2.7704466888958502e-84,3.168784976883657e-81
KMT2E,19.018965,1.4664448,1.1880412726731263e-80,1.3176817763972453e-77
ARIH1,18.988571,1.2568957,2.120204619352336e-80,2.2824002727327895e-77
PPP2R3A,18.839428,2.124832,3.588228318135672e-79,3.64813179644677e-76
WTAP,18.796091,1.9365604,8.129061640679047e-79,8.041399597580915e-76
TNFRSF10B,18.735235,2.0944383,2.555132396966135e-78,2.4610631805620396e-75
SNHG17,18.696375,1.844807,5.29860022799499e-78,4.730099193776698e-75
FOXO3,18.230272,1.2795699,2.9684355465842736e-74,2.5266909172216514e-71
CGGBP1,17.959974,1.5985224,4.009982719164512e-72,3.1906386413943546e-69
RAP1B,17.873129,1.4718271,1.9097797838942248e-71,1.4872308483045217e-68
NFE2L3,17.722603,2.1802232,2.8061952674643295e-70,2.1397823538429568e-67
AKAP13,17.66913,1.1324985,7.250511419509698e-70,5.415836091132132e-67
CTNND1,17.369057,1.4226881,1.4153577286174689e-67,1.0360701645025596e-64
RIOK3,17.23173,2.104486,1.534941814887303e-66,1.1015765758174544e-63
