names,scores,logfoldchanges,pvals,pvals_adj
PDLIM3,12.445056,,1.4878087699030215e-35,1.7620119261961484e-31
BOC,12.327341,,6.454149746157558e-35,5.095766362916264e-31
GAB1,12.142846,,6.260996313242068e-34,3.254674653460631e-30
ALDH1A3,12.135244,,6.870460722495632e-34,3.254674653460631e-30
SFRP1,12.08663,,1.2428118962958043e-33,4.9062070959437366e-30
PRLR,11.829685,,2.74169321049594e-32,9.277106483400976e-29
NRIP2,11.166752,,5.931043230463971e-29,1.75603362445962e-25
CYYR1,11.124343,,9.550731315354885e-29,2.5135402437277314e-25
ANGPTL2,10.723808,,7.86948354775837e-27,1.8639658731220472e-23
MGP,10.696452,,1.0575029944592746e-26,2.277092356978398e-23
HHIP,10.550114,,5.0735499446569104e-26,1.0014341999095297e-22
FAM198B,10.312237,,6.204009358633883e-25,1.1303705051430934e-21
NTRK3,10.2595,,1.0726110402580233e-24,1.814704649967967e-21
VSTM4,10.201566,,1.9510158850697245e-24,3.0348616868792388e-21
FAM210B,10.196755,,2.0500627792817622e-24,3.0348616868792388e-21
DCC,10.182927,,2.3634285294736754e-24,3.29295106759491e-21
PCNT,9.937556,,2.8575109034553407e-23,3.760166847735733e-20
SEPT10,9.862938,,6.025990002435628e-23,7.512189431457383e-20
PGM1,9.788083,,1.2667432845178375e-22,1.5002040718544748e-19
CXCR4,9.678292,,3.7289227221292744e-22,4.2058696950644756e-19
BTG2,9.634617,,5.710488298968769e-22,6.148119356789739e-19
PTCH2,9.486883,,2.380463300952337e-21,2.3677741693202783e-18
MICAL1,9.388558,,6.082710961129444e-21,5.7630036730124806e-18
SEMA6A,9.357723,,8.147336018896274e-21,7.422223113214505e-18
ARHGEF7,9.343422,,9.326962961499977e-21,8.182164618744017e-18
PPP2R2C,9.296783,,1.4475916115531927e-20,1.2245591039731758e-17
ADAMTS6,9.179863,,4.316399315266191e-20,3.5254563510825864e-17
PTPRK,9.138957,,6.305743150090079e-20,4.848700419730799e-17
PDE5A,8.990837,,2.453546302394653e-19,1.8160843037037423e-16
SRGAP1,8.96056,,3.2303295544995095e-19,2.318593509935618e-16
NDP,8.940011,,3.8913286995253464e-19,2.710882693439922e-16
GLI2,8.887875,,6.228902506338267e-19,4.215365279003663e-16
MAFF,8.784096,,1.5762726193455409e-18,1.037099812828291e-15
KIF26A,8.712248,,2.979084238727976e-18,1.90709700752732e-15
SBSPON,8.601705,,7.854051262142837e-18,4.650776454877881e-15
CRYBG3,8.577999,,9.653793220753037e-18,5.5770669811404005e-15
FABP7,8.521052,,1.5810961348330792e-17,8.709265825501468e-15
SHROOM2,8.491936,,2.032239767835169e-17,1.0939916168396321e-14
ADRBK2,8.485816,,2.1421087465267912e-17,1.127510839338524e-14
SDC2,8.429449,,3.4729592897813746e-17,1.7137607028700342e-14
EYA1,8.271924,,1.3181438616567966e-16,6.12187362886331e-14
