names,scores,logfoldchanges,pvals,pvals_adj
EYS,19.003546,,1.5940131748005669e-80,3.7755796058326223e-76
DMD,17.152658,,6.004205206574121e-66,7.110780226145732e-62
GNB3,16.298693,,1.0082451967198072e-59,5.970323932376339e-56
SLC1A7,15.515298,,2.733621469512193e-54,1.294971162537316e-50
CDHR1,14.720238,,4.779752024290177e-49,1.6173315206762448e-45
GABRG2,13.908133,,5.653601672236757e-44,1.487902324539998e-40
MAK,13.71163,,8.649253921981922e-43,2.048662283960638e-39
IMPG2,13.609223,,3.5297555439417895e-42,7.600526346709566e-39
SEMA3A,13.471428,,2.303663373313707e-41,4.547047555025705e-38
USP2,13.327958,,1.5919516490144293e-40,2.90053590450429e-37
FSTL5,12.963741,,1.964293238872414e-38,3.1017499770621333e-35
OTX2-AS1,12.932878,,2.9362149615293107e-38,4.346699223673953e-35
PRICKLE2,12.86095,,7.465310281133173e-38,1.040137290111296e-34
ATP1B2,12.748659,,3.1715462304222497e-37,4.173402445210078e-34
EPHA8,12.673496,,8.293399052161456e-37,1.0338813155236645e-33
COL27A1,12.308207,,8.182095984639806e-35,9.690056274608922e-32
GABRA5,12.253148,,1.6159943629201157e-34,1.8226877371488504e-31
DOCK9,12.135968,,6.809989013370069e-34,7.1612697968008535e-31
DISC1,12.134256,,6.9538632663353725e-34,7.1612697968008535e-31
PRAME,11.706217,,1.1844758336643796e-31,1.1689789415072706e-28
RASA4,11.4119005,,3.646741813926405e-30,3.253130458998998e-27
RABGAP1L,11.410444,,3.7082885414579476e-30,3.253130458998998e-27
KIF21B,11.368566,,5.9965175873990505e-30,5.072625556254783e-27
PPP2R2B,11.321788,,1.0236290546746481e-29,8.360578547939213e-27
RREB1,11.28219,,1.6069479385057136e-29,1.2687389623815444e-26
ANO2,10.919271,,9.324112135154102e-28,6.759452648821527e-25
ROBO3,10.918366,,9.417459149333377e-28,6.759452648821527e-25
EEF2K,10.674683,,1.337137569717518e-26,8.93942046457979e-24
AKAP9,10.673198,,1.3586892540947077e-26,8.93942046457979e-24
PALMD,10.599668,,2.990417610425753e-26,1.9143522032579564e-23
NLK,10.523049,,6.764826254989317e-26,4.1768437528504464e-23
TBR1,10.521495,,6.877349757712041e-26,4.1768437528504464e-23
ENAH,10.405879,,2.3309448263360305e-25,1.3802689789148804e-22
ARL4D,10.391027,,2.724023270425362e-25,1.5736881752023202e-22
DST,10.388323,,2.802374711344761e-25,1.5804058907836194e-22
NAPB,10.353368,,4.0401967360270994e-25,2.225490695105532e-22
NPTX1,10.33889,,4.699504375157399e-25,2.5298286506813217e-22
MAPRE2,10.165038,,2.8401137657871966e-24,1.4624116229659899e-21
TMEM91,10.147403,,3.402986009765469e-24,1.714960141006487e-21
RIMS2,10.136289,,3.813113766151254e-24,1.8816127638553876e-21
NISCH,10.070066,,7.492729124708306e-24,3.5494556409568194e-21
SGK1,10.031561,,1.1075186913480646e-23,5.143664259464757e-21
GABRB3,9.902254,,4.069976399238449e-23,1.8188954904219224e-20
TGFBR3,9.823728,,8.899083151023077e-23,3.90340154657653e-20
PRNP,9.685145,,3.487111078266361e-22,1.4490475964880178e-19
MARS,9.552858,,1.2616605838598736e-21,4.980615431550827e-19
FZD1,9.531132,,1.5557736357619363e-21,6.040992514206101e-19
TMEM176B,9.51275,,1.8568845293630604e-21,7.093897897176363e-19
LINC00478,9.488711,,2.3390726598975063e-21,8.79417063846545e-19
ATP2C1,9.406094,,5.149187522125183e-21,1.9056821195165168e-18
CADM2,9.391105,,5.937437144546897e-21,2.163602095472889e-18
PRDX1,9.388252,,6.100415448372987e-21,2.166319674971336e-18
CRY1,9.38778,,6.127814667866229e-21,2.166319674971336e-18
PCLO,9.360713,,7.92005449084438e-21,2.7587413333844116e-18
PHLDA1,9.294756,,1.475440251315189e-20,5.0648228685002264e-18
CACNA2D1,9.21202,,3.2004396317615493e-20,1.0676846918014655e-17
SAMD3,9.164692,,4.968872103830506e-20,1.5904419547476942e-17
CRYBG3,9.138432,,6.336484564374145e-20,1.974815439365342e-17
NOMO1,9.05839,,1.3239001856323524e-19,3.9693544046693545e-17
HIST1H2AC,9.00819,,2.0948546031454797e-19,6.202340766262979e-17
ZNF462,9.005436,,2.1481069107456058e-19,6.28148892443462e-17
HLA-C,9.002741,,2.2015123838301457e-19,6.35914906382937e-17
MFSD11,8.9765,,2.795168614904636e-19,7.810589815888015e-17
NOMO2,8.9426565,,3.7992655124360573e-19,1.0343609531903501e-16
TMEM176A,8.925041,,4.455349990251484e-19,1.1991979530579165e-16
XPO4,8.919601,,4.679678569382259e-19,1.2454254673526762e-16
TULP1,8.860874,,7.938943009034747e-19,2.066393451780187e-16
USH2A,8.830562,,1.0415177060584284e-18,2.68145525931521e-16
ATXN7,8.807162,,1.2835336073915976e-18,3.2342315983699344e-16
TBC1D8,8.749773,,2.137829216278623e-18,5.274648210080777e-16
RALGPS2,8.704136,,3.2000282281229596e-18,7.814007073332002e-16
HMP19,8.699287,,3.33975233197267e-18,8.071976911745374e-16
PRL,8.687888,,3.692398284966029e-18,8.834156139162158e-16
KAT7,8.64949,,5.172998331520741e-18,1.2131449354495077e-15
