names,scores,logfoldchanges,pvals,pvals_adj
CNTNAP2,37.16184,5.788015,2.82304943961949e-302,7.577347000882673e-298
NNAT,34.664547,4.7327375,2.697156502687282e-263,3.6197188844314667e-259
ZIC2,34.460968,4.5717125,3.0847719045414598e-260,2.759945422993244e-256
RSPO3,34.232918,5.3594127,7.83192540772995e-257,5.2554177467219896e-253
DUSP4,32.77433,5.442369,1.3671294018656071e-235,7.339024055094951e-232
PRDM8,31.911858,3.930622,1.828275751151018e-223,8.178791572774079e-220
NEUROD1,31.621746,3.340282,1.855434198265813e-219,7.114529902236099e-216
CTTNBP2,31.524092,4.632665,4.0625999808487115e-218,1.3630530760745033e-214
FABP7,31.040255,4.916967,1.5443883748889492e-211,4.60588093004381e-208
EOMES,30.259947,3.3795638,3.8602010772195964e-201,1.0361165711365118e-197
CDK6,30.058723,2.9416962,1.6793178674541673e-198,4.097688261848846e-195
RIPOR2,29.634655,3.7362716,5.347559197353514e-193,1.1961153034680472e-189
MEIS2,29.038568,3.292417,2.1455750672579534e-185,4.429952336943902e-182
LHX5,27.939608,6.415648,8.816939709107683e-172,1.690396276658281e-168
ZIC5,26.83973,4.4076233,1.111675796187591e-158,1.9892326696980753e-155
FHDC1,26.294786,4.492976,2.1999094174478685e-152,3.6904855421073898e-149
MAB21L1,26.043848,2.455933,1.5795152392794308e-149,2.493868737499953e-146
ISLR2,25.795774,4.160807,9.890077001600309e-147,1.4747753155552995e-143
MT-ND2,25.53459,1.1949272,8.143992866894886e-144,1.1504890133701348e-140
PAX6,25.23213,2.727388,1.7793118517417362e-140,2.387925470629997e-137
BLCAP,25.200764,3.0906558,3.929118988712037e-140,5.0219753702866565e-137
ZIC4,25.021372,2.5356944,3.579029734978455e-138,4.366578959843487e-135
CLPTM1L,24.682096,2.7429047,1.6652283736249037e-134,1.9433215120202626e-131
MT-CO2,24.557198,1.0362504,3.623245465858423e-133,4.052147147879414e-130
INSM1,24.483122,2.5114033,2.2347889247185095e-132,2.3993587811347805e-129
C4orf48,24.480814,2.3631868,2.3649307049848605e-132,2.4414271174037938e-129
SLC6A3,24.120432,4.0137224,1.5261030325413455e-128,1.517115981349713e-125
CHST8,23.92275,4.628014,1.7759872734435564e-126,1.7024740859463752e-123
COX6A1,23.494368,1.9033725,4.656980541377283e-122,4.3102763693485404e-119
AC010931.2,23.398281,4.5406175,4.449377902885292e-121,3.8524436223014232e-118
RND2,23.378284,4.079487,7.1085093563293915e-121,5.962484363538662e-118
RBP1,23.30541,2.8969643,3.9072656285981384e-120,3.178027779915231e-117
ATP6V0E2,23.230623,2.510821,2.2335703695438506e-119,1.763272420262544e-116
VSTM2A,22.91306,3.492341,3.442926390475827e-116,2.6403310641931905e-113
SOX11,22.847507,2.1119268,1.5472067972135913e-115,1.1535716012225e-112
DRAXIN,22.778149,2.4323406,7.551520622940597e-115,5.478117974063475e-112
DYNC1I1,22.776585,3.5567212,7.825911385037444e-115,5.527770723310264e-112
FIS1,22.771112,2.1767824,8.866837952273409e-115,6.102430704537706e-112
SEM1,22.640842,1.9590288,1.7173214259482076e-113,1.1242591315579474e-110
