names,scores,logfoldchanges,pvals,pvals_adj
CENPV,52.040424,4.350377,0.0,0.0
NCOR1,47.74823,3.3069806,0.0,0.0
TTC19,45.585457,3.3728049,0.0,0.0
ZSWIM7,44.015602,3.604516,0.0,0.0
DDX3Y,40.822628,3.8400667,0.0,0.0
BOC,40.681873,4.274472,0.0,0.0
ZNF286A,40.46252,4.6230955,0.0,0.0
SFRP1,40.137737,4.544111,0.0,0.0
ZNF721,39.588226,3.2245674,0.0,0.0
KIF5C,39.53005,2.8968985,0.0,0.0
CTBP1,38.372326,2.9053571,0.0,0.0
PCGF3,37.99856,3.285412,0.0,0.0
CCDC144A,37.780693,3.6862373,0.0,0.0
UVSSA,37.24597,3.7118254,1.2311723215141953e-303,2.360421162983037e-300
DRG2,36.759132,3.4439871,8.309562548983712e-296,1.4869131225151455e-292
TRIM16,36.58042,4.035279,5.857865689904599e-293,9.826935811420583e-290
GLI2,36.40582,4.6059675,3.444025226475989e-290,5.437710653167177e-287
MAPK10,35.680817,3.3532896,7.843703752889753e-279,1.1696269579517438e-275
SEMA6A,35.433556,3.124276,5.197827093264577e-275,7.342888263700763e-272
TCF4,35.14697,2.3444664,1.293249782866851e-270,1.7356058710964574e-267
AC098850.3,35.09356,4.144541,8.452112095757745e-270,1.0803006702963507e-266
RPS4Y1,35.090588,3.2245789,9.382104237609507e-270,1.1446593629167127e-266
APP,35.087032,2.446263,1.0629879101209504e-269,1.2405068911111491e-266
ADD1,35.062675,2.4286873,2.499317909998666e-269,2.795174667594758e-266
AC104024.1,34.94276,10.613339,1.6679575107059455e-267,1.7907859017943313e-264
SYT1,34.87779,2.8123863,1.6146756752762824e-266,1.6669042230804115e-263
ZIC2,34.849686,2.8523085,4.3046110459027195e-266,4.2792616697435144e-263
FRRS1L,34.481148,3.1457655,1.5377009789228903e-260,1.4740511419739036e-257
PIGL,34.14597,3.8427844,1.5347284829368481e-255,1.373121573683598e-252
MAEA,34.07273,2.7332013,1.870003657593448e-254,1.6191215539827659e-251
GAK,33.945667,3.0236588,1.4132922916989832e-252,1.1854430750466378e-249
QKI,33.42809,2.5864975,5.358532406398531e-245,4.358435403640696e-242
APBA2,33.393875,2.4809806,1.682384534584602e-244,1.3281436262583911e-241
DZIP1,33.26897,3.5974357,1.0855741486940524e-242,8.325113064313446e-240
LRRC75A,33.00395,3.8190458,7.129159054248169e-239,5.315382171529864e-236
IGHM,32.942883,6.926062,5.349291836699121e-238,3.8805497888875975e-235
NPTX2,32.89492,3.368009,2.597933908056103e-237,1.8350301059508907e-234
RGMB,32.814037,3.123571,3.7133089678828717e-236,2.5556134873575425e-233
ZNF286B,32.761818,4.4696803,2.0608858828274407e-235,1.3829059495242833e-232
PTCH1,32.745872,3.3427358,3.476237189773528e-235,2.275748351480763e-232
DDX1,32.704018,2.3494503,1.3692949188423715e-234,8.750772599201927e-232
PDLIM3,32.48513,3.0586438,1.7293742892853112e-231,1.0794915185745823e-228
ATPAF2,32.425213,3.4145577,1.211321812519129e-230,7.389338356778623e-228
UCHL1,32.401817,2.558534,2.587498371136032e-230,1.5433565284369385e-227
PRPSAP2,32.035946,2.5731962,3.4455135091676014e-225,2.0104571325992952e-222
ZNF141,31.980326,2.8936324,2.0473531266867325e-224,1.1692128781574168e-221
ARHGEF7,31.850449,2.4378462,1.2975755410122069e-222,7.255880228397635e-220
METRN,31.520342,3.098368,4.573006427036075e-218,2.5049809287362303e-215
MAP2K6,31.467962,2.9660723,2.384209389895322e-217,1.2798912846836067e-214
SOX2,31.37087,3.9693792,5.052849770892632e-216,2.608145013471714e-213
ATP5ME,31.230349,2.3637905,4.127540054463293e-214,2.05161671484906e-211
TFDP2,30.979105,2.1189232,1.0306974091620466e-210,5.029990756239726e-208
PIGG,30.865278,3.378354,3.4941743741771524e-209,1.6747702567373028e-206
CYYR1,30.841455,3.918305,7.292738272427672e-209,3.4341120696531784e-206
